	overall	DDF Tumor	HUH7	Hep3B	HepG2	NAT	Standard Tumor
ZN689.H14CORE.0.PSG.A	3.754916666300805	4.666205574247044	1.8083266754727154	3.0037105366910537	0.3768685136563529	6.931920688846565	1.5287393164131917
TBX21.H14CORE.0.PSM.A	2.4352497706937735	3.0849857778919447	3.1632861164631185	1.3706890115508248	3.6203453955991116	0.34827787526388543	0.9757795557196223
ZN778.H14CORE.0.P.C	3.0801824096696264	1.7805222001527115	1.9723282083292057	0.31039331510849305	1.4884752129895882	6.487119281475438	2.33884269513418
ZN250.H14CORE.1.M.C	2.505626798187863	4.42444280775702	2.6483617464100555	0.21150195815195547	1.6066759618283608	2.419694345583131	1.6119610296641305
MNX1.H14CORE.0.SM.B	1.5441021598182614	0.48615259839140257	0.2003765509120567	0.1648499357338983	0.18830532637648992	3.5257948211315258	1.2390118040936007
RXRG.H14CORE.1.SM.B	4.95724092398787	11.635279198316375	0.04940058413951132	0.7474119191429646	0.5533886942409573	3.119792582998852	1.210493141470958
ZFTA.H14CORE.0.PSGIB.A	6.592516511510503	0.32159498088440625	11.319745495675335	2.133105497739704	7.834697807534121	7.667691616344816	2.7931091610260737
REST.H14CORE.0.P.B	2.919148031448269	2.4712219929033377	5.208791273449736	0.7809669940690692	3.358771903498793	1.8050648213992335	1.6554726072826866
CREB5.H14CORE.0.P.B	4.867372861328786	4.258647453305371	5.353759284365281	4.603133087037285	7.436373606199661	4.290027034901391	0.6754822222552612
ZN416.H14CORE.0.P.C	2.0097919920423943	1.2470269429240444	1.1299661150725437	0.3666718388448161	1.1089310895256486	4.042781864826587	1.922348013442592
ZN558.H14CORE.0.P.B	2.911900839801497	1.2656169074855501	4.538548061598233	2.336991947000624	1.6922044559777558	4.156720191728609	1.7525365353020634
NR1I3.H14CORE.2.M.C	3.5719421373847293	4.832618036024288	0.26378388361266525	0.33268118265102053	0.41191159286181583	7.028052645382118	1.8587557294329629
ZBED4.H14CORE.0.SGIB.A	2.4517946813508984	2.4450346695239884	2.180730142504604	2.528209036608884	0.11856536060881202	4.25023320295474	0.9293134618495875
FOXH1.H14CORE.0.P.B	1.1552184117821016	1.410754385981906	0.7631875973469372	0.1365616351479226	0.3313955673865268	2.2279844717383472	0.5848994089806206
ZN800.H14CORE.0.PSG.A	2.3888029631383967	1.7726415043910257	0.357122520465572	0.41529360180607877	0.8003779271926464	5.116068593845582	1.9953074258138705
ZN337.H14CORE.0.P.C	2.4774767276991945	0.654348553731682	0.5921531548749365	0.5366069750125059	0.04405290419022728	5.690944844357104	1.8362427137045911
ZN595.H14CORE.0.P.C	4.767813807110601	5.690413077090367	2.9322381741499544	3.959784075988735	4.985453533199785	7.314664507872577	1.1723973622047261
MAFG.H14CORE.1.PSM.A	4.687717766161079	2.8858689792211005	6.605947699782103	1.761748628945684	4.405941151875542	7.175541423698183	2.424238429902321
ZBT20.H14CORE.0.SM.B	3.437736899573901	6.8239221799483305	3.3908171480431344	2.4468908323588128	1.5493603775213178	1.1638171858940636	1.7613609305309146
Z518B.H14CORE.0.PSG.A	3.5081628296842347	2.056627898550477	3.602254638844151	1.0516053475660414	1.9993963379217181	6.93526211706608	1.853634722851858
HAND1.H14CORE.1.P.B	4.415839292154839	0.7554206207548007	2.2699262745840056	3.0137795897544626	0.30295059773854593	9.563285789908651	3.262439691207096
VDR.H14CORE.0.PS.A	2.422437887939939	0.5874509262145043	2.67831456078938	2.7109958281741107	0.07581145941266904	4.1512922395058345	1.7613322891429974
IRX2.H14CORE.0.S.B	4.29825019716147	8.077415287722651	5.188909910639627	3.3275367024416336	2.401947171405616	0.41280041286337593	1.291530043066052
PO2F2.H14CORE.0.PSM.A	3.234694907761209	2.5148735625965988	5.429063453452025	3.435030375194054	2.490785613365724	2.863663768055392	0.8810056944159744
SMAD4.H14CORE.1.P.B	2.9805611965194756	3.4265228511456316	0.9611966701092551	2.651088265184786	0.9524127938082442	5.559027285689853	1.3414055712121313
ZN662.H14CORE.0.P.C	3.5496696443374613	4.280629979211368	4.608868659968125	1.2317315987095667	3.3146415471381365	4.287690191842272	2.2687365782151083
CMTA1.H14CORE.0.PSGI.A	3.718700059932828	5.098776361493401	1.4022742411388114	2.792893184244188	0.5489953561992302	6.680487068644708	1.509281838665688
FEZF1.H14CORE.0.P.B	5.1094058856487	6.389179226559018	0.3068341505250339	1.131443032650193	1.19796541908165	10.327741208282479	2.5185094190976467
CXXC4.H14CORE.0.PSGIB.A	3.9695826811996433	5.6291607574956775	0.9285002971424943	4.002015887494236	3.3302951396704294	5.893816455228069	0.38972689510985953
HIC2.H14CORE.0.P.B	0.7003504878230024	0.2848314301909562	0.2124362420081418	0.9211191509887029	0.46566888712219595	1.2156723303804942	0.5229909335885495
KLF16.H14CORE.0.SM.B	2.2780915102127177	0.7881938436191586	0.06467635150149036	1.7103820272770895	1.1996355239698089	4.5052080917349375	2.4189545238429164
