	mean	std
GRHL1.H14CORE.0.PSM.A	0.0009175003040061856	0.00039077539256806903
ZN689.H14CORE.0.PSG.A	-0.0012165656012381298	0.00042551630790787825
TBX21.H14CORE.0.PSM.A	-0.002281667914885142	0.0004655221342703713
ZN778.H14CORE.0.P.C	0.007749896443623146	0.00033362186880038627
ZN250.H14CORE.1.M.C	0.037728501737580966	0.0004458183034023478
MNX1.H14CORE.0.SM.B	-0.0010503451378003313	0.0004803694985441881
ZN709.H14CORE.0.P.C	-0.001622306514207212	0.00034722197959480755
RXRG.H14CORE.1.SM.B	0.029464705997684398	0.0004966874719603888
ZFTA.H14CORE.0.PSGIB.A	-0.007506171551412301	0.0004994476187284036
REST.H14CORE.0.P.B	-0.0014653036088066252	0.00035017088381464025
CREB5.H14CORE.0.P.B	-0.027086117718322162	0.0006446146224076548
ZN416.H14CORE.0.P.C	0.002770533645630559	0.0003457444314275322
ZN358.H14CORE.0.SG.A	0.01920734396899659	0.0003431035595038718
ZN558.H14CORE.0.P.B	-0.007827772647746326	0.00044139315708469984
ZNF26.H14CORE.1.P.B	-0.0004925664658244453	0.00035399516750236513
ZN836.H14CORE.0.PSG.A	0.002618565144879313	0.00032721902109451173
HMGA1.H14CORE.0.P.B	0.026232650126260977	0.00046561039522882285
NR1I3.H14CORE.2.M.C	-0.029525896846210844	0.00036887612954201955
ZBED4.H14CORE.0.SGIB.A	0.014518423749278515	0.0004007195653170023
FOXH1.H14CORE.0.P.B	-0.013010572333131784	0.00034669666438602814
ZN800.H14CORE.0.PSG.A	-0.03874279941307279	0.0004084674085650249
ZN337.H14CORE.0.P.C	0.01612846604156063	0.0004057713499319196
PO2F2.H14CORE.1.M.C	-0.004695995356564801	0.0004143462618599765
ZN595.H14CORE.0.P.C	0.002358090597505337	0.0004105649461573569
MAFG.H14CORE.1.PSM.A	-0.01071592810857056	0.00040075739633926215
ZBT20.H14CORE.0.SM.B	-0.0020962233395504827	0.00046800816278082854
Z518B.H14CORE.0.PSG.A	0.02957124394061397	0.000396207857151671
HAND1.H14CORE.1.P.B	-0.010131617116301176	0.00042204909672639097
VDR.H14CORE.0.PS.A	-0.010376475511829061	0.00039788691752956976
IRX2.H14CORE.0.S.B	-0.004640932210531136	0.00045978023407062336
Z585A.H14CORE.0.P.C	0.052998170487109204	0.000646682667053778
PO2F2.H14CORE.0.PSM.A	-0.037071407721852204	0.0005746792490024527
ZSC12.H14CORE.0.P.B	0.006545219851293806	0.0003258498261012746
SMAD4.H14CORE.1.P.B	-0.020933942704311228	0.00036356177056585747
ZN100.H14CORE.0.P.B	-0.019448286659611836	0.00034202938459658097
ZN662.H14CORE.0.P.C	-0.005020050038679743	0.0004021418454247982
CMTA1.H14CORE.0.PSGI.A	0.008954383510974023	0.00040653152968043695
FEZF1.H14CORE.0.P.B	0.017940505294425525	0.00040071294962916627
CXXC4.H14CORE.0.PSGIB.A	0.007908919749030355	0.0005103064853544409
HIC2.H14CORE.0.P.B	0.0047439169474465855	0.00038445341898219013
KLF16.H14CORE.0.SM.B	-0.015727914283520588	0.0003865438149597782
PITX2.H14CORE.0.SM.B	0.010850208694387384	0.00034802003882273663
ZFP14.H14CORE.0.P.C	-0.0057790091783826185	0.0003308782719211512
ZN621.H14CORE.0.P.C	-0.01536643416720256	0.0003332647552614763
ZBT49.H14CORE.0.P.C	0.022485466114936188	0.0004279697108642539
SALL3.H14CORE.0.PSG.A	0.0013196718472815632	0.0007831444757009534
FOXD2.H14CORE.1.SM.B	-0.002588689102327132	0.0004117394508679875
TEAD1.H14CORE.2.S.C	-0.003447781811998267	0.0004262586468901659
PO3F2.H14CORE.0.P.B	0.003586836002930706	0.0005127577321443681
ZN582.H14CORE.0.P.C	-0.011487002968445952	0.00036717893845971186
ZN787.H14CORE.1.S.C	-0.00018162996889528973	0.0003498971566906501
ZBT26.H14CORE.1.SM.B	0.016913470443645953	0.0004332008476432362
ZN440.H14CORE.0.P.C	-0.011059118615560191	0.00035384180584673497
YBOX1.H14CORE.0.SM.B	-0.0074893489170184905	0.00033317343481936305
E2F1.H14CORE.0.P.B	0.016078647897387038	0.0007161750800929695
ZN664.H14CORE.0.P.C	-0.023383954794569742	0.0004831363742583487
ZN740.H14CORE.1.S.C	-0.010161610977905439	0.00047893999551576976
ZN577.H14CORE.0.P.B	-0.013104199544393139	0.00032950559703014213
COE1.H14CORE.0.P.B	-0.013167196945988254	0.0005734341609488207
ZN623.H14CORE.0.PG.A	-0.023008490033650283	0.0003335733365412357
ZFP57.H14CORE.0.P.B	-0.00042445245822795175	0.0003368478256322024
LMX1B.H14CORE.0.P.C	-0.027515260605591944	0.000480295037901525
MYT1.H14CORE.0.SG.A	-0.0043609801119675285	0.0005382627823048428
P63.H14CORE.1.PS.A	0.008313752852443882	0.0003485987819026517
KMT2A.H14CORE.0.P.B	-0.017080763972600867	0.0008503783971568362
RXRG.H14CORE.2.P.B	0.014908281978584431	0.00039812647184278625
TBX1.H14CORE.0.S.B	-0.016039803260649178	0.00042238191083304814
ZNF20.H14CORE.0.PSG.A	0.020165316351490496	0.00032526849935061205
ALX1.H14CORE.0.SM.B	0.03398148735362273	0.0004433620299814509
PATZ1.H14CORE.0.P.B	-0.04159171397741933	0.0005523290250165319
HSF1.H14CORE.2.P.B	0.025467602739833062	0.0004249118105895808
ZN772.H14CORE.0.PG.A	-0.007462929343266292	0.00037439747878355
ZN273.H14CORE.0.P.C	-0.0034644048566525977	0.0003669148823550616
ZN714.H14CORE.0.P.C	0.0055755194946628325	0.0003405508552483143
ZN610.H14CORE.0.P.B	0.010366427813473137	0.0003734687934773742
EGR1.H14CORE.0.PS.A	0.009819269879377375	0.00043902421022959105
ZNF44.H14CORE.0.P.C	-0.002753519574920709	0.0003255171927274215
ZN304.H14CORE.0.P.C	-0.015033151852103478	0.00036646436206482755
ZN699.H14CORE.0.PSG.A	0.004774104009736291	0.0003472681172854402
ZN527.H14CORE.0.P.C	0.0003985838940106126	0.00032773385391608083
ZN789.H14CORE.0.P.C	-0.013339989087739458	0.0003379717048052521
Z585B.H14CORE.0.P.C	-0.0073913098626240525	0.0003590882550755548
ZN148.H14CORE.0.P.B	0.030899527264842117	0.0004979763750423047
HMBX1.H14CORE.0.PSM.A	0.012714059755806785	0.00038365277963529876
ZN570.H14CORE.0.P.C	-0.017605118481420868	0.0004653631217572173
ZN335.H14CORE.0.PSG.A	-0.004640247356040465	0.00042301206573500306
ZN671.H14CORE.0.P.C	0.0027276499545647237	0.0004836236931717977
ZIK1.H14CORE.0.P.C	-0.014642498447596238	0.0004285278117693789
ZN233.H14CORE.0.PG.A	-0.003029226168660754	0.0004343591199205492
ZBT41.H14CORE.0.PSG.A	-0.012333372729414486	0.0004864581111182803
ZN350.H14CORE.0.P.B	-0.013648494947603838	0.00037789863131528287
ZN681.H14CORE.0.P.C	0.01743664589507103	0.0005236264898894606
OSR1.H14CORE.0.SM.B	-0.0004611765709912471	0.00036164637833517116
