motif	tau	std
GRHL1.H14CORE.0.PSM.A	3.538564214511488e-15	0.00011380704873911004
ZN689.H14CORE.0.PSG.A	0.0004980471060569285	0.00012185596209679574
TBX21.H14CORE.0.PSM.A	0.0006883388243850479	6.760663623758393e-05
ZN778.H14CORE.0.P.C	2.6843097799798466e-05	0.0001300100462610043
ZN250.H14CORE.1.M.C	0.0009379141036077542	9.770485785542229e-05
MNX1.H14CORE.0.SM.B	0.00012144091754584009	0.00015371380254156116
ZN709.H14CORE.0.P.C	2.526986192425758e-17	0.0001637523402298287
RXRG.H14CORE.1.SM.B	0.0011252446227055424	7.636171985248477e-05
ZFTA.H14CORE.0.PSGIB.A	0.0013794540809878742	0.0002621767584605323
REST.H14CORE.0.P.B	0.00013720533445761506	7.38601177928252e-05
CREB5.H14CORE.0.P.B	0.0027014552947226197	0.00010901347182891223
ZN416.H14CORE.0.P.C	7.027536096625427e-05	8.047071676210994e-05
ZN358.H14CORE.0.SG.A	1.2819872628904603e-16	0.00010187904225144734
ZN558.H14CORE.0.P.B	0.000177075429282009	7.335425357586625e-05
ZNF26.H14CORE.1.P.B	7.101656733413527e-16	8.789072833512627e-05
ZN836.H14CORE.0.PSG.A	2.7562526345066793e-16	0.00010674798189097314
HMGA1.H14CORE.0.P.B	1.9437588046730806e-11	0.00010708511529601488
NR1I3.H14CORE.2.M.C	0.0001197286531203763	0.00010010483814652852
ZBED4.H14CORE.0.SGIB.A	0.0005364036048305707	0.00013469711595938524
FOXH1.H14CORE.0.P.B	1.8760959299791747e-05	9.991684989242828e-05
ZN800.H14CORE.0.PSG.A	6.333558552470842e-05	0.00010995966344533358
ZN337.H14CORE.0.P.C	0.0005760314293338707	9.114482536281327e-05
PO2F2.H14CORE.1.M.C	5.08656078288413e-16	0.00012314447362937265
ZN595.H14CORE.0.P.C	0.0003967347149831706	0.0001861858706268228
MAFG.H14CORE.1.PSM.A	0.00044989137943556143	7.930032111585819e-05
ZBT20.H14CORE.0.SM.B	0.000720466236193081	0.00010252839684590875
Z518B.H14CORE.0.PSG.A	0.00044394231390904254	9.164318919044452e-05
HAND1.H14CORE.1.P.B	0.0005837488536407504	9.851689068806419e-05
VDR.H14CORE.0.PS.A	0.0003121961062880648	0.000153520073730685
IRX2.H14CORE.0.S.B	0.0006179050551635676	8.664329226929677e-05
Z585A.H14CORE.0.P.C	3.7871855225918254e-16	7.79869886366721e-05
PO2F2.H14CORE.0.PSM.A	0.0014424868863168855	9.970309967961315e-05
ZSC12.H14CORE.0.P.B	2.2034776241889645e-18	0.00038522557689469244
SMAD4.H14CORE.1.P.B	0.0001554385235906041	0.00011254158122509413
ZN100.H14CORE.0.P.B	2.0028254846015956e-13	0.00014909150228848165
ZN662.H14CORE.0.P.C	0.0004858428826366832	8.455817217190594e-05
CMTA1.H14CORE.0.PSGI.A	0.00032050748910844525	7.579335246696623e-05
FEZF1.H14CORE.0.P.B	0.0003497224684649976	0.00010456796729329542
CXXC4.H14CORE.0.PSGIB.A	0.0011047188120697742	0.00034947054325812886
HIC2.H14CORE.0.P.B	0.0002455486060045784	0.00013603238946155536
KLF16.H14CORE.0.SM.B	4.864127025132757e-05	0.00010507490966896548
PITX2.H14CORE.0.SM.B	1.0327917982397245e-16	0.00022003383500330666
ZFP14.H14CORE.0.P.C	5.774145807755308e-15	6.378209171754588e-05
ZN621.H14CORE.0.P.C	5.209064337307671e-13	0.00012819792364083608
ZBT49.H14CORE.0.P.C	0.0002497829363379169	0.00018650655237256454
SALL3.H14CORE.0.PSG.A	0.003778169969868445	0.0004668123786983946
FOXD2.H14CORE.1.SM.B	1.157689556142527e-15	9.896734979523308e-05
TEAD1.H14CORE.2.S.C	0.0005330534071588644	0.00014439399786212486
PO3F2.H14CORE.0.P.B	0.0005956591576410096	0.00010977857790854126
ZN582.H14CORE.0.P.C	0.0002593704081838331	8.484917708977928e-05
ZN787.H14CORE.1.S.C	0.0001595550175737312	8.310475661858729e-05
ZBT26.H14CORE.1.SM.B	0.0002363250464956124	8.398593716759009e-05
ZN440.H14CORE.0.P.C	3.5605111719742834e-16	0.00012060518624619742
YBOX1.H14CORE.0.SM.B	1.3482322067609632e-16	8.606999348737136e-05
E2F1.H14CORE.0.P.B	0.004255203578969666	7.479301827502005e-05
ZN664.H14CORE.0.P.C	0.0005192857766323819	0.00011445473940275543
ZN740.H14CORE.1.S.C	0.00013133135698535503	0.00011116394405647398
ZN577.H14CORE.0.P.B	1.5569927237587476e-17	0.00011197422251426572
COE1.H14CORE.0.P.B	0.00220932224239627	0.0001350688671078233
ZN623.H14CORE.0.PG.A	1.092347071365968e-16	0.00014912712987252756
ZFP57.H14CORE.0.P.B	9.468274858355073e-06	0.00015680187539874663
LMX1B.H14CORE.0.P.C	0.00015740815567713646	8.166578793311373e-05
MYT1.H14CORE.0.SG.A	0.0014871205922850866	7.009945860379868e-05
P63.H14CORE.1.PS.A	3.750403578265483e-19	7.022623990823209e-05
KMT2A.H14CORE.0.P.B	0.005493931172911245	6.846283519505123e-05
RXRG.H14CORE.2.P.B	5.699593955280352e-15	6.753802267795065e-05
TBX1.H14CORE.0.S.B	0.00033580044728553373	0.00011300459198427772
ZNF20.H14CORE.0.PSG.A	4.2141878844413745e-16	0.00013091966327007494
ALX1.H14CORE.0.SM.B	1.6506559140584484e-18	8.827838849031735e-05
PATZ1.H14CORE.0.P.B	0.00019880032222262508	9.843976317227747e-05
HSF1.H14CORE.2.P.B	0.0005844255631138228	0.00014143646961270074
ZN772.H14CORE.0.PG.A	7.050174861669285e-05	9.060724478713346e-05
ZN273.H14CORE.0.P.C	0.00013623755629154402	0.00012318892897468454
ZN714.H14CORE.0.P.C	6.2759102054916345e-15	9.872117232569373e-05
ZN610.H14CORE.0.P.B	0.0002070503112911293	9.822096572418322e-05
EGR1.H14CORE.0.PS.A	0.0007024111718820525	8.889523789409843e-05
ZNF44.H14CORE.0.P.C	3.710179878105345e-16	8.743384766378286e-05
ZN304.H14CORE.0.P.C	0.00029187653772653387	0.00010437186725445782
ZN699.H14CORE.0.PSG.A	0.00011562423589275291	0.00010837074296573855
ZN527.H14CORE.0.P.C	1.5166335326248492e-16	6.628881978617849e-05
ZN789.H14CORE.0.P.C	5.959703952464903e-15	7.367961999649112e-05
Z585B.H14CORE.0.P.C	3.810759512130767e-18	0.0001532447725188448
ZN148.H14CORE.0.P.B	0.0002253945346344657	6.763426314034453e-05
HMBX1.H14CORE.0.PSM.A	8.823779338714924e-15	8.41867295842888e-05
ZN570.H14CORE.0.P.C	0.00019504672294445464	8.483869632254894e-05
ZN335.H14CORE.0.PSG.A	0.000594203815869314	7.470724761704627e-05
ZN671.H14CORE.0.P.C	0.00069984032139592	6.763462124001331e-05
ZIK1.H14CORE.0.P.C	1.4711823184903963e-17	0.00013294216096399608
ZN233.H14CORE.0.PG.A	1.989968219409184e-15	0.00013027481759320795
ZBT41.H14CORE.0.PSG.A	0.0009462463728835515	9.382322049446634e-05
ZN350.H14CORE.0.P.B	6.7100621714547865e-18	0.00019489058750029798
ZN681.H14CORE.0.P.C	0.0009170560679472487	6.625284701762023e-05
OSR1.H14CORE.0.SM.B	0.00023441334139201418	0.00016444647176603317
ZN101.H14CORE.0.P.C	6.690441437556975e-06	6.689482764348237e-05
ZN189.H14CORE.0.P.B	3.6827665555659154e-05	0.0001459101360899894
ZN215.H14CORE.0.PSG.A	3.198279633460707e-05	0.00011216091076726042
ZF69B.H14CORE.0.P.C	8.247103592838904e-11	7.77516423455502e-05
ZN566.H14CORE.0.P.C	3.3393919012444707e-15	0.00021800212629158604
SCRT1.H14CORE.0.PSM.A	0.0006092444493384047	7.698265684373404e-05
ZN766.H14CORE.1.P.B	2.0730885551451503e-19	7.561583230998366e-05
ZKSC8.H14CORE.1.P.B	0.0008597089151559113	0.00015800233623583022
ZN816.H14CORE.0.P.B	2.546154719021339e-13	0.00019423863908385128
ZNF30.H14CORE.0.P.C	0.00030990206474883013	7.018806488300436e-05
MYPOP.H14CORE.0.PSGB.A	0.0005182594544543336	0.00010468467438570203
ZN100.H14CORE.1.P.B	0.0006383465034727381	7.365813365438872e-05
FOSB.H14CORE.1.M.C	0.00018481063836591242	0.00019822550688303637
BATF2.H14CORE.0.PSG.A	0.00017968671854811595	0.00012552166456201598
ZN493.H14CORE.0.PSGI.A	0.0004689516897557169	0.00023362479648310694
ZN682.H14CORE.0.P.B	0.0003488812628403245	7.737146362044854e-05
DACH1.H14CORE.0.S.B	7.697456393566425e-05	8.093092353491376e-05
PAX8.H14CORE.0.PSM.A	5.704687803488547e-16	7.83884869503435e-05
