	mean
A1BG	-1.2094443508467856
A1CF	2.325314053264933
A2M	3.9293848369567703
A4GALT	-1.221678118637431
AAAS	0.07290694656534447
AACS	-0.632272814779953
AADAC	0.6052892970465015
AADAT	-0.9951743486116965
AAGAB	0.584129047660937
AAK1	-0.3122775247521725
AAMDC	-1.1973146556678476
AAMP	1.4242914246995975
AAR2	0.13042022003626705
AARS1	2.236024957008871
AARS2	0.3535975142637648
AASDHPPT	0.5466305885870559
AASS	0.82856558232687
AATF	-0.24118788666119864
AATK	-0.6946636590117289
ABAT	1.4796621951331848
ABCA1	1.0973243231352297
ABCA10	-2.39307116451445
ABCA2	0.3891420600789618
ABCA3	-1.9166051607277663
ABCA4	-1.8987929074781342
ABCA5	0.15125669074947637
ABCA6	-0.8201858093699751
ABCA7	-0.7945141774986405
ABCA8	-0.787113038579281
ABCB1	0.7675228250045599
ABCB10	0.8604311912536174
ABCB11	-0.45968564397538175
ABCB4	-0.238140690491857
ABCB7	-0.2592526074152248
ABCB8	1.1429972724431137
ABCB9	-1.1938732832343255
ABCC1	-0.6176232509977335
ABCC10	-0.8587246559555574
ABCC11	-1.9623313286177277
ABCC2	1.7201976870005071
ABCC3	0.7232506291021069
ABCC4	-0.7387263945437441
ABCC5	0.2696361220944166
ABCC6	1.9722877753971826
ABCC9	-1.1039610152569264
ABCD1	0.3448470018769195
ABCD3	0.5351177392635674
ABCD4	0.6168020603864648
ABCE1	0.6872042527465404
ABCF1	1.043081296046436
ABCF2	-0.26665769402308687
ABCF3	0.08571464751397924
ABCG1	-2.109317240287772
ABCG2	-0.45060348505108366
ABCG5	0.17164644889776107
ABCG8	0.6765790513838835
ABHD1	-2.468466197270891
ABHD10	0.6204078868338516
ABHD11	-1.2066201825502818
ABHD12	0.5775554166022833
ABHD13	-0.5067790043402529
ABHD14A	-0.7122652520246205
ABHD14B	0.6306365832123101
ABHD15	-0.2809620401687374
ABHD17A	0.5298891823484699
ABHD17B	-0.20642839393011903
ABHD17C	-1.189123212780962
ABHD2	1.525700564039688
ABHD3	-0.5073798574876248
ABHD4	0.7287016687873126
ABHD5	-0.6507501138551924
ABHD6	0.40079605198929863
ABHD8	-0.4994568848416419
