motif	tau	std
NKX23.H14CORE.0.SM.B	0.0002790010574315625	8.186781592356056e-05
PURB.H14CORE.0.B.B	0.0009651482286263454	0.00013002099091796227
CUX2.H14CORE.2.S.C	5.448383164118283e-15	0.00012171279785578185
ZN665.H14CORE.0.PSG.A	1.299340762103331e-14	0.0001302833772240457
ZN646.H14CORE.0.PSG.A	0.0004145221367558949	7.611899950123997e-05
ZFP28.H14CORE.0.P.B	0.00043595616848611366	6.79683553288638e-05
ZN213.H14CORE.0.P.C	0.0001816487042578725	8.298131941171615e-05
HINFP.H14CORE.0.P.B	3.711340619590717e-05	0.0004439611246591519
ZN282.H14CORE.0.P.B	2.2219926900122026e-05	0.0002396244932213152
ZN133.H14CORE.0.P.B	2.602557841490436e-14	8.35255725476107e-05
IRF9.H14CORE.0.PSM.A	0.005377714434501487	0.00010204765540622237
Z354A.H14CORE.0.P.B	0.001978278006690294	0.00011282180290564027
ZSC31.H14CORE.0.P.C	0.00032850083344169447	0.00023515423493583067
ZBT26.H14CORE.1.SM.B	0.00041341261051206543	0.00010118344642294514
PRD15.H14CORE.0.P.B	0.0007908187104015666	7.051482170593223e-05
ELYS.H14CORE.0.B.B	0.0008820470648554219	8.742285437084528e-05
ZN322.H14CORE.0.P.C	0.0005584085182596709	0.00012505040538269603
ZFP90.H14CORE.0.P.C	0.00011879957417766354	0.0004075941412434269
ZN304.H14CORE.0.P.C	0.0003927225112351135	7.221066962722533e-05
ZN689.H14CORE.0.PSG.A	0.0007767647136058419	6.61460056277269e-05
SALL3.H14CORE.0.PSG.A	0.0040504678589753556	0.00011831729336947835
ONEC2.H14CORE.3.P.B	8.4839945487691e-16	0.0002655363391191364
ZN660.H14CORE.0.SM.B	0.0001506108418694247	0.00010285987916942205
ZNF92.H14CORE.0.P.B	4.97009863133448e-05	7.706600094395586e-05
ZN331.H14CORE.0.P.B	0.0008314911327458024	0.0001975592839589468
ZN667.H14CORE.1.P.C	3.303905724628778e-15	0.00010375133654549414
E2F4.H14CORE.2.S.B	0.0029584208729402013	9.066146696968816e-05
OSR1.H14CORE.0.SM.B	0.0006292514761050388	0.00016063993188998943
ZN75D.H14CORE.1.P.B	0.00011282543569183945	7.539534384028345e-05
PAX8.H14CORE.0.PSM.A	1.6313101767646646e-17	0.00012936940335077284
FOXB1.H14CORE.0.SM.B	0.0014852879109647525	8.632172008493618e-05
ZN716.H14CORE.0.P.C	0.0002291124017544097	0.00019870673602839531
ZN587.H14CORE.0.P.C	2.0737077189862365e-14	0.0001318128565230933
ZN141.H14CORE.0.P.C	0.00035344548640726844	0.00011542882643736633
ZN681.H14CORE.0.P.C	0.0008489066594929287	0.00014403329249629233
ZN205.H14CORE.0.P.C	0.00021253645313902388	7.689712323400506e-05
PRDM6.H14CORE.0.P.B	0.00044802507148881715	0.00010041391406497133
SOX9.H14CORE.2.S.B	5.8769785004324564e-05	0.0001081110147234517
ZN165.H14CORE.0.P.C	2.3406349243376572e-15	0.00013318865675118798
KAISO.H14CORE.0.P.B	0.0019789388788087835	0.0001065932428538873
ZN507.H14CORE.0.I.B	0.0010198950541616923	7.205920512435997e-05
ZN180.H14CORE.0.P.C	5.4381824756005454e-05	0.00013649448566855146
REL.H14CORE.0.P.B	0.0010455563460070078	0.00011243749006965193
HOMEZ.H14CORE.0.S.B	0.00017612133745740236	0.00041242506605819094
NANOG.H14CORE.0.P.B	0.00017561384072458747	0.0005374264951296094
ZN479.H14CORE.0.P.C	0.0006496635263805974	0.00026346719211050847
ZN483.H14CORE.0.P.C	4.609072292594848e-19	9.670124633923869e-05
ZN302.H14CORE.0.P.B	1.3119836965278748e-17	8.151927470204195e-05
ZN773.H14CORE.0.PG.A	3.985345086814944e-16	8.35120595855084e-05
RARG.H14CORE.0.P.B	0.0009890625705303183	0.00014534679734500835
STF1.H14CORE.0.PSM.A	0.00044420345851730724	0.00020668994735583064
ZN730.H14CORE.0.P.C	2.0915276617628213e-05	0.0001403397587227881
CASZ1.H14CORE.0.SGI.A	0.0005759428778766392	0.0001443667696992297
MYPOP.H14CORE.0.PSGB.A	0.0006087349327117385	9.192187488042058e-05
ZF69B.H14CORE.0.P.C	4.8979371908358745e-17	7.441330895121919e-05
CGBP1.H14CORE.0.PSGIB.A	0.0037143006611339282	9.914055467344669e-05
NR1I2.H14CORE.0.M.C	3.78620276788562e-15	0.00010754479405940083
ETV7.H14CORE.1.P.C	0.00687199965936316	0.00010470308789708436
ZN134.H14CORE.0.P.C	3.0586608070624695e-15	8.377714047525955e-05
MBD1.H14CORE.0.PSIB.A	0.0025085904068543395	0.00011821218702383153
ZN335.H14CORE.0.PSG.A	0.00044590629560699443	0.0001228425748409208
THA.H14CORE.2.S.B	6.887426513659611e-05	7.239012816888736e-05
ZN749.H14CORE.1.P.C	0.0002580309335491128	0.00014529604370835508
