	mean
A1BG	-1.2753952979350927
A1CF	2.216165218044825
A2M	4.111399046909451
A4GALT	-1.1386551768719138
AAAS	0.1789914098746371
AACS	-0.48675787415349725
AADAC	0.7321153009569871
AADAT	-0.766184671286227
AAGAB	0.5099287158358521
AAK1	-0.3945137024314001
AAMDC	-1.3315140288591578
AAMP	1.1158790625344683
AAR2	0.11105227225784094
AARS1	2.2814604419970532
AARS2	0.22785383208073717
AASDHPPT	0.3313591525993605
AASS	0.6973487537339685
AATF	-0.14728312893782497
AATK	-0.73784904224653
ABAT	1.5995409116675137
ABCA1	0.7392522360376377
ABCA10	-2.409394810373536
ABCA2	0.5856016906854773
ABCA3	-1.5940125882052094
ABCA4	-1.9593032035379618
ABCA5	0.09488071437162775
ABCA6	-0.7464457184668046
ABCA7	-0.7733025743754212
ABCA8	-0.9340536724221906
ABCB1	0.6584842536706816
ABCB10	1.0421333692365515
ABCB11	-0.5202581777764517
ABCB4	-0.0010758388510651946
ABCB7	-0.15024599911089193
ABCB8	1.1546164167491615
ABCB9	-1.2309027041429204
ABCC1	-0.8087394590979633
ABCC10	-0.9706301599058355
ABCC11	-1.7295797327983322
ABCC2	1.6043017682810836
ABCC3	0.8781213220625178
ABCC4	-0.9327580007470233
ABCC5	0.3108605437441993
ABCC6	1.9469495819304137
ABCC9	-1.0198888822694951
ABCD1	0.18748883053020668
ABCD3	0.6947067065225306
ABCD4	0.6672493256183895
ABCE1	0.7206811616437271
ABCF1	1.0216921896525264
ABCF2	-0.2873547923420991
ABCF3	0.2759127130540003
ABCG1	-2.062013070381451
ABCG2	-0.4831988823652116
ABCG5	0.20816983086965035
ABCG8	0.7474316520272289
ABHD1	-2.5174397229631578
ABHD10	0.6696432504089957
ABHD11	-1.4966250400928507
ABHD12	0.6019068686855877
ABHD13	-0.5149037423545177
ABHD14A	-0.5330391164837798
ABHD14B	0.5404597200940621
ABHD15	-0.21253776347152858
ABHD17A	0.5681386555967961
ABHD17B	-0.05481758911661257
ABHD17C	-1.3904100527254588
ABHD2	1.1828883073124818
ABHD3	-0.18465964431364926
ABHD4	0.6972409213877189
ABHD5	-0.5631427846244235
ABHD6	0.3577973785509719
ABHD8	-0.4664292719418264
ABI1	-0.0005644194183752635
ABI2	-0.808977433967935
ABITRAM	-0.36279814735176397
ABL1	0.7840563835752855
ABL2	0.9032915089289963
ABLIM1	1.5618778130777817
ABLIM2	-1.9635875498769544
ABLIM3	0.043807243846661834
ABR	-0.7964444628448551
ABRACL	0.06886442195090578
ABRAXAS2	-0.11219026483266478
ABT1	0.32947028847965176
ABTB2	0.16048901504711177
ACAA1	1.0264240706065204
ACAA2	1.694235002175866
ACACA	0.7320757303798522
ACACB	0.775818801406934
ACAD10	-0.47715111516659064
ACAD8	0.10237129164446394
ACAD9	0.4153662555265521
ACADL	-0.9706682381437267
ACADM	0.5004837593338265
ACADS	0.21131558357802718
ACADSB	1.7193766474341095
ACADVL	2.1474739314801266
ACAP1	-2.394125550379783
ACAP2	0.2578563012135708
ACAP3	0.8619664007400117
ACAT1	0.7432802951761452
ACAT2	1.080278803608568
ACBD3	0.5768418611340909
ACBD4	-0.12191225390933509
ACBD5	0.08083727728459067
ACBD6	0.12029745758854388
ACD	-0.5001605513337991
ACER3	-0.7370097598197608
ACHE	-1.4483009710111687
ACIN1	1.2537944912798968
ACKR2	-1.9527046002963755
ACKR3	-0.19256537429746862
ACLY	1.369304990905209
ACMSD	-1.398467898993099
ACO1	1.565380296234173
ACO2	0.5252713558444252
ACOT1	-1.02926118965379
ACOT12	-1.0710435154411637
ACOT13	0.4556963614181291
