	CDX08	CDX08.1	CDX33	CDX33.1	CDX35	CDX02.1	CDX25.1	CDX30P.2	CDX08.2	CDX02.2	CDX03P.1	CDX03	CDX20	CDX17	CDX17P.2	CDX29.1	CDX07	CDX42.2	CDX30P.1	CDX10.1	CDX18.1	CDX04.1	CDX02	CDX35.2	CDX29	CDX20P	CDX46.2	CDX18P.1	CDX15PP.1	CDX32P	CDX17.2	CDX38	CDX20P.2	CDX03.2	CDX12	CDX17P.1	CDX15P	CDX01.2	CDX41P.2	CDX22P	CDX04.3	CDX17.1	CDX15P.1	CDX01.1	CDX42P	CDX30P	CDX34	CDX40.1	CDX46.1	CDX45.1	CDX34.2	CDX18	CDX04	CDX13.2	CDX42	CDX13.1	CDX17P.4	CDX22P.2	CDX04.2	CDX10	CDX08P.2	CDX29.2	CDX22P.1	CDX15PP.2	CDX15P.2	CDX12.2	CDX42P.2	CDX41P.1	CDX35.1	CDX17P.5	CDX09.1	CDX20.2	CDX39P.2	CDX42.1	CDX10.2	CDX25	CDX17P.3	CDX45	CDX25.2	CDX03.3	CDX08P	CDX38.1	CDX03P.2	CDX18.2	CDX07.1	CDX34.1	CDX26.1	CDX03P	CDX18P.2	CDX12.1	CDX42P.1	CDX15PP	CDX09	CDX32P.1	CDX18P	CDX38.2	CDX03.1	CDX46	CDX45.2	CDX03P.3	CDX40.2	CDX01	CDX41P	CDX14P.2	CDX14P.1	CDX26.2	CDX39P	CDX32P.2	CDX39P.1	CDX07.2	CDX09.2	CDX17P	CDX20P.1	CDX14P	CDX13	CDX40	CDX33.2	CDX08P.1	CDX20.1	CDX26
NKX23.H14CORE.0.SM.B	-0.0048117827280870756	-0.003635765113708337	-0.002994116523874316	-0.0013963042379025962	-0.003137345662218187	0.002140141645192854	-0.0035162803155681516	-0.002576216292950742	-0.005220129120821169	0.0017931544003131146	0.003660719839404766	0.0030105055744817835	0.0036460017467751793	-0.00024166995585479247	0.0019817668658085874	-0.0037679322854956457	0.00447353514187924	0.00465309558746517	-0.0026955376803695593	0.0001903537155990339	0.00015367482663043372	0.006582930296568777	0.004436943714561648	-0.0029585199505230255	-0.004077008937849339	0.0032885609536711597	-0.0029798015100954856	0.00023440901551534984	-0.0015488284365283342	-0.002474351242114002	-0.0004891347752158035	0.00011912210434483414	0.0031381261390866885	0.0031744188899897816	-0.001062006034758714	0.0030844260564711224	-0.001550553309212422	0.003784592640976734	-0.0014037481157999172	-0.001899953059546064	0.0035191817584088137	0.0001360211433281775	-0.0019008036172209052	0.003154615251227285	0.004458582619800441	-0.0009102067101226616	0.0023354305643195584	0.0020683397180586635	-0.002613276271978474	-0.003432167300917569	0.00044022613867855795	-0.00024387866675494758	0.003553445145637789	-0.006978367760181681	0.004292574352166307	-0.00531052396789488	0.0013920959299342558	-0.0025097774725381336	0.004207137583485286	-0.0020178564452657307	-0.0032148578588763917	-0.0048326460136518265	-0.0012861146805073866	-0.0012762442918440075	-0.0018016197673187476	0.0005322029698444628	0.003571889401975176	-0.002019284691769437	-0.0026990436500712	0.0017638891554544525	-0.0033041232926912002	0.0036083916202093004	-0.002937211849358705	0.00452300013690481	-0.0009398983107944126	-0.0037295154958138926	0.002301185188798533	-0.004513869650441253	-0.0027312428393381077	0.004075346158684601	-0.0029695783184787335	0.0005495487227733069	0.0029988228913142823	0.00025527210456934707	0.003784500854096648	0.0017210288005047175	-0.000494180976608514	0.002970819662622075	0.0005776881242510658	0.0002803365433181326	0.003945697229351739	-0.0024009158816610107	-0.004366045090941741	-0.001519016052947137	0.0006820894751814509	0.00043661247996073724	0.0012908068762896314	-0.0018236919473737078	-0.004455608952284972	0.0026829397424269884	0.0016616739856232347	0.0029560759446292497	-0.0007380020398056733	-0.002880347587847631	-0.004738734208214651	-0.0004439779641228274	-0.002545003178966242	-0.0019925664148037463	-0.002132749264023321	0.0043488512100885324	-0.002725504282523522	0.0020123731684251536	0.0032372606594434543	-0.004024063724513313	-0.00683339197959304	0.0016450227018638443	-0.001939178121138533	-0.003122106088067185	0.0027712381420349937	-0.00027305013479143186
CUX2.H14CORE.2.S.C	0.0006177374577803069	0.00012161308780519325	-0.002769467986398471	-0.001579831494372681	-0.0017122591396343673	-0.0010501903645686178	0.002787008035167328	0.008667954359748736	0.0007831978375699589	-0.001155295531104114	0.005812374624237105	0.006447897519338736	-0.00046956584131535584	0.006510890825225234	0.008521877117994604	0.00014955668606028705	-0.0008878244679176063	0.0011563523686640813	0.0075661820689635235	-0.0105661477392294	-0.0025314229186186553	0.002139118682153565	-0.0022712054016586075	-0.0006959318968042215	-0.0009618029945588917	-0.002187101738973258	-0.0016649480263307738	-0.004226887060234901	-0.0013367368299523836	-0.004548618976378078	0.006272910839123572	0.003753836109253554	-0.0008584867879780737	0.00590517844648954	0.001545220854216621	0.006337768496413359	-0.0030719670124707017	0.00526980079351636	0.0014462748334774216	-0.002776341179894219	0.00239680658096628	0.006937997883170836	-0.0021327467975660623	0.005049921271816108	0.001954226458787213	0.009441222982940336	-0.003503503046164092	0.003505625792376517	-0.002461418519683827	-0.005264750821011451	-0.0033865153481022732	-0.0029558336985671205	0.0022142026157042777	-0.0009314855067296957	0.0012753420436502072	-0.000364081661200083	0.008196706983461626	-0.003487485319868106	0.0024420410453405116	-0.005803713061882321	0.003607063438066268	0.0007825342031051845	-0.0029459307940506102	-0.001891164865693247	-0.003182576134857452	0.0038367236719822435	0.001472684242795048	0.00042438254697944704	-0.001937077818683699	0.008058591308547778	-0.004709500862458336	-0.0006112575638174064	-0.001868394364280844	0.0014730277991033235	-0.011498186010744845	0.004794716240506182	0.00852545669244121	-0.006022669623413522	0.004898446386634822	0.003943064141216007	0.00351970151168653	0.0032109921719507342	0.004866805342314661	-0.003105686014115615	-0.0006048207327133768	-0.0032922617798641163	-0.0024835788253113537	0.0050895879095804765	-0.003408803382425286	0.0009575234256700062	0.002048502652126423	-0.002294274614421512	-0.004293803810039368	-0.005591765201909585	-0.003993759718220042	0.002936582759219722	0.0053792864137309476	-0.0021343629020965545	-0.0049607505505370065	0.0034979570474525518	0.002432966051242165	0.0061994799142536805	0.0009087975768237722	-0.005983619607606591	-0.004320830313146076	-0.002104802992770352	-0.0009225792229664879	-0.005053223622291617	-0.0014801650449965953	-0.0012000543068793786	-0.00416419624898479	0.006141802960884037	-0.0012087094267208224	-0.005264365769555312	0.0003733302865167043	0.0023625877200124518	-0.0015698641890091476	0.004500576411597193	-0.0002454264661974903	-0.002766019919606579
ZN665.H14CORE.0.PSG.A	0.002273577820960948	0.0016855360700578957	0.0010923910767676069	0.000740075441438083	-0.0013119716668474933	0.00016581888740265123	0.0006460118281397618	-0.0017695678965344921	0.0017463508028745774	6.063161318911169e-05	0.0008817600850387014	0.0005586719159746418	-0.0008037119328160335	0.001618203394561743	0.002645146540288702	-0.00032142579778882	-0.001977081489752299	-0.0011486025736345638	-0.0014089899340839211	0.0009341434050552759	0.0007758017684985933	0.003354871598950891	0.0009959406786240847	-0.0019137603677946103	-0.0007796896738157034	-0.0010867602284634547	0.0003473964507237958	-0.00029564964190529925	0.0008874199350440455	-0.001634757880216324	0.0024621764032466756	0.001065786077627912	-0.0007059992369944784	0.0011563079891350626	-0.002001107081741821	0.0036442773659483094	0.001146476799533147	0.0019287585145836708	-0.0031185648499012534	-0.0001880046647126975	0.0016512868785698246	0.0022801755452350834	0.001032633835366402	0.0011132790241405017	-0.0010880228749136998	-0.0015503081449633538	-0.00304857970048137	-0.002040438415672077	-3.3496243869177503e-06	-0.0011531234622408856	-0.0034264728561631632	0.00030572719137586545	0.0025210737066550352	0.004568971089938249	-0.000981406913198507	0.004257489990601049	0.0016794831774262498	-0.000543874706190431	0.001927239049344112	0.00012681367244234956	0.002461767869053795	-0.00020433662273844876	-2.412535210914832e-05	0.0005789393387099398	0.0012804776442079191	-7.719150904590905e-06	-0.0013358047672183118	-0.001955615657216299	-0.0011927577394300105	0.001941370431285696	0.0017557363354674294	-0.000920093848511409	-0.0003077081887760814	-0.0010523858652863758	0.00028207713637599767	0.00046602063827577526	0.0018526676100552725	-0.001465168322101237	0.0010810481271691296	0.0010877447808800775	0.0023043252675105062	0.0015662302031598015	7.88590845996035e-05	0.00040604470897040966	-0.0018607630291947296	-0.0029796691662706282	-0.002115164570658447	0.0004895714744248304	4.476458785187382e-05	0.0014952517552410051	-0.0011859938080223675	0.0007348968920929356	0.0007453071526979825	-0.0016102277425389941	-0.00018956131907885078	0.0008828455648130229	0.00014144316982444248	0.00044301305699276285	-0.0010120225790642729	-0.0005347186800177244	-0.00143255614144361	0.0010578994558401566	-0.002237893180026997	0.0002364246480428822	0.000710133657225857	-0.002310678173052947	-0.00043958113697489267	-0.0012754662830711991	-0.0005885826383535461	-0.0016552440792011206	0.0018152120881556148	0.003699404728416335	-0.0008965183790125126	0.0004556589153026473	0.004289164154231445	-0.001017523629325317	0.0009354870882178606	0.002459526944877997	-0.00012185849172413697	-0.0021688294789963527
ZN646.H14CORE.0.PSG.A	-3.15666997831132e-05	-0.00015755846002282704	-1.9885064492856886e-06	0.0001174273996046105	0.00016116568433379146	0.00012145212535844409	0.0003016938495502108	0.000555286562163545	9.780178301340513e-05	0.00020694891377548514	-0.0002457792830352077	-0.00014619463536461996	-0.00019256966851324755	-1.620238030731837e-05	8.549170370237863e-05	-0.000141977852653773	5.260752405886909e-05	-9.508327220574464e-05	0.0005056765942054869	0.00026599652869440597	4.3758102880148055e-05	-0.00015415981173114938	4.4649916693002226e-05	5.73817037653598e-05	-0.00021707174352166394	-0.000263414787209615	0.0003594844004116112	9.693627716301129e-06	-3.357929834300137e-05	2.4809529653498265e-05	0.00010097197196621112	-0.00010424102869916125	-0.0001633666910955139	-0.00010520828772284888	0.0002581132376739551	0.0002567499694988403	-0.00010990963083795283	-0.00010535791028071489	0.00015978051447378572	-0.00018761419011502467	0.0001467291191114584	8.020284561454402e-05	-1.3597228570573695e-05	-9.926020541150432e-06	-0.0002158174129497383	0.0004431472122583746	3.2889403871212274e-05	-0.00014437270009342727	0.00028800540281698054	0.00011634083498666243	2.7733320467004333e-06	4.177304314959294e-05	-1.6797584049731574e-05	-0.00021453616018596907	-7.079794281135898e-05	-0.00034021884146780666	0.00019384189643395912	-0.0002240335750276031	-4.686314774703234e-05	0.0003710752179684686	4.618058588993232e-05	-0.00015473471103933466	-0.000133290596743724	-7.544792451139861e-05	-0.00013212470555588697	-1.1469092104318375e-05	-0.0002359949179016127	0.00018528732747145383	9.177645020679286e-05	0.0001938501434967676	-0.00016364526443969716	-0.00033082242588545704	-8.611949733823142e-05	-0.00010645940029353112	0.00023257653348266838	0.00023016019155323842	0.00018300442747413038	1.535029464486907e-05	0.00012617597906195506	-0.00016767303085570354	-8.568062576361007e-06	-0.00035658947788950383	-0.00019940084568642645	2.416678705553061e-05	4.691210552861468e-05	7.705545800448137e-05	-0.00029380564060222785	-0.00021750344284889012	8.829987438779905e-06	-3.052091229158822e-05	-0.00023528769852876178	-7.007326336815653e-05	8.014028913581038e-06	6.089734071232757e-06	3.99158197908108e-06	-0.00016515450559317002	-8.55531274877848e-05	0.00021890019208979823	4.773004488420503e-05	-0.00016007214969764646	6.0270197856523555e-05	5.018697594563493e-05	0.0002238614541224784	4.950938260678229e-05	0.00011332529226749542	-0.00028492266657918335	6.426236546537155e-06	8.086225325999708e-05	-7.702557321178955e-06	-4.933579016333078e-05	-0.00021900358903534107	0.00027751033718710974	-0.00016757428552130363	0.00010325372210085316	-0.0002754572835492993	4.790646929160288e-05	0.00018011462097275482	-3.043909803921948e-05	-0.00013411203961344645	-0.0002789847396982697
ZN213.H14CORE.0.P.C	0.002489142717699636	0.0024015337494006778	-0.0038158105523200805	-0.004980589442646662	-0.0017275186848214226	-0.0006699537135078232	0.007143403656447625	0.00396205102926039	0.0007409284272353982	0.0001355743987484113	-0.0039781021289019315	0.0006110427589016941	-0.00536712091033301	0.003943090474245185	0.006709032536759371	0.004770329557489542	-0.0018304884460061607	0.004546569301411084	0.0025817366824213168	-0.0036786738948761813	0.0017763739081792518	-0.0029825647208645695	0.00034161535102935833	-0.0025903571671249672	0.002726590895651402	-0.003921209998735825	0.00028221069646720137	0.00022860945340332406	4.8381539025378595e-05	-0.003468732272163406	0.006851964968795171	0.00522583611425077	-0.0033907796041248855	3.832083091247565e-05	0.0006404119388997796	0.009306787889959239	-0.001854534614511805	-0.004023642675319218	-0.0009569212066800978	0.0016494996638427087	-0.004344944597867226	0.007840245681673852	-0.0011678899771480015	-0.00443200621465341	0.0032455611540619933	0.006666859017908155	0.003020434042507936	-0.0008323629369000884	0.0003285899825440572	0.0015421761154892815	0.0024289008732301153	0.0032281761440652286	0.0003182990970865031	-0.008726437357642516	0.004047669613904299	-0.00836204924182455	0.006148856055552831	0.0015536231900233318	-0.0033485759677397333	-0.001620910977139867	0.0029981077044244006	0.0036217168459706153	0.0018262726674168487	0.00023116022197038717	-0.0012357107833732305	0.002116983673634846	0.003540925736067277	-0.002593895740297776	-0.0035432201870271764	0.006210739835318359	-0.0028895253321449006	-0.004178857865696916	-0.0012015510970553363	0.00475540027955333	-0.0036687087420033977	0.006115555525596776	0.00569656029712615	0.001146027230817975	0.006528729527185679	0.0019607727257309956	0.0025003994291303983	0.004260750164494075	-0.0035900392611094636	0.00194128857547869	-0.0036351606444620845	0.00305657261484241	0.0003245417135787909	-0.0029009456065452605	0.0013631277511080156	-0.00024875031492148977	0.0031247109457987927	-0.002634621399927731	-0.002597360986941725	-0.003758993692201044	0.00031578916917284015	0.004934904844169405	0.0007219481376821279	0.00043804206713980547	0.002380051179676744	-0.001743497004823867	-0.00012403971552893411	-0.0037444876750400476	-8.547019716204952e-05	-0.002016955265729389	-0.0037981150284881887	-0.00024095890713269372	-0.00011111042104079358	-0.004008018731147014	-0.0001271073244782277	-0.003383670005940323	-0.002645160368607777	0.00837305931168629	-0.003596653393768548	-0.0028771082879660782	-0.008623684712742628	-0.00024738962954798036	-0.0053741151647577565	0.002391534410399321	-0.00426860657297356	-0.0003047006733953528
HINFP.H14CORE.0.P.B	0.000711651370315299	0.0008374687950447198	0.0009579144065097088	0.001296267417884872	-0.0009654579601743628	0.0006146251968699272	-0.0010641929480696066	-0.0016271248753823282	0.00031153149731538704	0.00040280930156189277	0.0006468300846290825	0.0009553600540764488	-0.0006876193993158729	0.0010105891153795936	0.00042759215187117066	-0.0005966066202019813	0.0005333865190499222	-0.0002736691382501334	-0.0014753328358873042	-0.0004860392164970054	-0.00011211940761116047	-0.0009000927345353925	0.0003545125966482555	-0.0010446397237237723	-0.0005423854071162518	-5.3515883425710696e-05	0.00011423280369841741	0.00043676437780816227	-0.0007295948032369844	-0.00023157641531724516	0.00043106343310541327	0.00011917185492478152	-1.6596710514852047e-05	0.0004082850610187209	0.0007799294062195623	0.0017978605700368004	-0.0005313099774598795	0.0005368743873339003	0.0012383810478690579	-2.4840092016524106e-05	-0.0008422164224491714	7.468218071479465e-05	-0.0004761363107044276	0.0005282594069405937	-0.0006319539929281531	-0.0010451835415252748	0.0009473549538106755	-0.00014469881290293807	0.0004206489652100404	-0.00015364339568409158	0.0005185815579771651	0.0003739605844756044	-0.0009412240265505344	0.0004927892036066528	-0.00036634644743149293	8.281239459735634e-05	0.00024786851536988527	9.306569500485123e-06	-0.0008562112484184247	-0.0002118077703476143	0.0009564768661374208	-0.001192771642924857	-0.00039561056633528646	-0.00041092570190721825	-0.000253166751099883	-0.0006355443761342409	-0.0003548986641377036	0.0007560062441005679	-0.0009230085745836969	-0.0003855160887007282	-0.0005146488095181152	-0.0005080449625310271	-4.222702706858559e-05	-9.830665060001293e-05	-0.00024155160598978006	-0.0011776420922880752	-0.00041980927983177076	0.00011880633415199508	-0.000668639295675193	0.0007645600641091495	0.0007704409205636243	0.0005556540540814399	0.0006336998905791956	-2.2377281755023033e-05	1.4201088312202747e-05	0.0008273498463895745	-0.0004765904824431455	0.0008523287171014705	0.0006795583160520264	0.00040895856279345654	-0.0003597188881325668	-0.0006673302484394548	-0.00018424514466037697	-0.00014122864587620384	0.0005960937460230571	0.0003398762026095596	0.0008019586968212814	0.00038375514532380285	-5.88022009541504e-05	0.0005250993021661725	6.170667396531056e-06	0.0006684114074391536	0.0008962529105907815	-0.0003081059161275986	-0.0006571068102849392	-0.0003710317158304101	0.00010331687291770752	-0.0006350770921085451	0.00034006355995398925	0.00012302584838433297	-0.00039945753513068	0.0012445487904693812	-1.2834729983422864e-05	-9.016954207259777e-05	0.0005925124550179087	-0.0005046561528369159	0.000732770813923395	0.00046252746759755346	-0.0008325254753051787	-0.0005181295179273474
ZN133.H14CORE.0.P.B	-0.0006642899576795173	-0.0007842109418122758	0.0006277596129038042	0.00047798258326258683	-0.0006626726754972894	0.0006455912204474099	0.000291270536589598	-0.00045004570741957566	-0.0008063272613935773	0.0006813598897713244	-0.00029147349244312685	-1.467728731317829e-05	0.0005626062205633686	-0.00034510044539552644	-0.0001803279359916816	-0.0011448754929587908	0.00010807570950905872	0.00018492208227239952	-0.00032188208718475443	0.0006063978644843498	0.00016952688474053488	-0.000982273476644287	0.0002519993457616573	-0.0005839007459488777	-0.0009031323924122409	0.0006804355044211104	-4.643292993378829e-05	0.00032805995185425114	3.905886991818357e-05	0.0005307408310295903	-5.9914409418257214e-05	-0.00024550979032439326	0.0007065302643850265	-0.00031702668175773293	-0.0002757235883643712	-0.0007398751014169116	0.000427027476158638	0.0011010537784643748	-0.00019391086475291017	0.00014458088050502686	-0.0001225461237862283	0.0003308240226097686	0.0003174621791011837	0.0007769503448758971	4.332723521712585e-05	-0.0004747252712982721	-0.000577512071930854	0.00014871625561883222	6.042934187867324e-05	-9.112976227209127e-06	-0.0002788779328405771	0.0002875105770669376	-0.0007372252219590451	-0.0019235089086544702	7.541035043376072e-05	-0.001984240436677562	-0.00010344090922206396	0.0001031738646137847	-5.046033045096043e-06	0.00020001931918690484	-0.00036606166850422115	-0.0014379810415200505	0.00010265182156169715	8.10598871808562e-05	0.0003599627283086419	-3.3417470371971674e-05	3.122938750542447e-05	-0.00023238948080614696	-0.00047939155612660957	-8.38991648454961e-05	0.0002785924759040133	0.0007026260185853049	-2.5783139600871912e-05	0.00016799729607209417	0.0008178844044698318	0.0002987205925928213	-0.00010472024518148838	0.0001486967216845147	0.0004062876064493239	-0.0006783509109416809	-0.00024201942618036834	1.9047078692168568e-05	-0.00029478904183591684	0.00013092068626787572	0.00033440070598053705	-0.0006226093995814878	0.0002610136045802754	-0.0004392336848254765	0.00039005924502548113	-2.1803288039877466e-05	0.00013864325062558185	0.00017416893393248667	0.0003873031266971782	0.0006890142999759822	0.00039205242374944	-0.00010582632673929214	6.968042484730309e-05	8.465611033151932e-05	0.00010617923110770229	-0.00044673911162554846	-0.0001229604666863164	0.000862364684512056	-0.0005269686788177299	-0.0011011079645563866	-0.0012591658272275833	0.000401905854918956	0.0001110992495271056	0.00032102764512910117	0.00020019597160607708	0.0003755419802288875	0.0004130704637996729	-0.0006535345421365582	0.0007017992943337197	-0.0009570329857932517	-0.0018537443981923134	-0.0001790320324268806	0.0004534891614568564	-0.0004633021808122498	0.00047601228535792267	0.000381578108276971
IRF9.H14CORE.0.PSM.A	-0.012823670781262977	-0.01634886789708772	0.007552758061866389	0.008930834749833427	-0.015149886203519179	-0.012058607719606915	-0.01309474518324236	-0.020193758917555742	-0.011166046305921823	-0.013441235149478615	0.001899012423142301	0.004708503851370876	-0.008876562515675018	0.0054145078781309	-0.015635211241826933	-0.021713325467527612	0.005542471102792084	0.013375214376702908	-0.020009625964941376	0.01694849920297188	-0.004250999490952	-0.0017122583883483478	-0.0074657881309661	-0.013985892075801178	-0.020416654267898966	-0.003980224444526805	0.001199554139289613	-0.005067355564712047	0.0016450162683091804	0.0034227219134334557	-0.012905217044852473	-0.007325252180284965	-0.0069615868206339	0.00491285211403681	0.0007537842977187233	0.005938929147277533	0.005983624759105467	0.008279048285990104	0.01471614564061224	0.028951985520581557	-0.004027750134526303	-0.019156747460763596	0.008344498602736675	0.011080583615268275	0.01352514400625534	-0.021868472012157986	0.006495617689549941	3.970170337330714e-05	0.0010564724612053995	-0.009447771526211044	0.005923441472544703	-0.006793989076272016	-0.013787839820725595	0.02093949222231567	0.013780004378417747	0.03701430598468983	-0.01674758156014348	0.032711337710103434	-0.008149246823018184	0.005894830094095502	-0.010828458051512765	-0.01998623033139056	0.027412279474966186	0.0018915563799968716	0.008677105861645124	-0.015548487968629763	0.013714635659082128	0.014907448112196648	-0.018658073114084545	-0.01662721161370243	0.009626210513994916	-0.011065281544818461	0.007005240438421883	0.012886209689779611	0.01733439332870918	-0.012707091913619205	-0.016421361619126967	-0.01311051952810404	-0.01291042580897269	0.007974509064827176	-0.0146718861105717	-0.0030120209237242193	0.00022850277617643758	-0.003807408433711551	0.009550098096970532	0.007182223883245711	0.005305136346345376	-0.003408576909988529	-0.005024200593291445	0.003579805501141514	0.013887774907783219	0.007549129720373924	0.01477933389214226	0.0012872828081223527	-0.00686147671012721	-0.0062030954713021	0.006825306551767468	-0.00045947566815899427	-0.014143607675525232	-0.0014954403267262162	-0.007851865005402525	0.009604322914360485	0.016822188532449125	-0.011145191234183753	-0.006912480754441383	0.0031888934382237446	0.005093940908132918	0.0032744687659010847	0.008003679556524736	0.013994183917214522	0.005856082873560316	0.002724960678755762	-0.0036452968964483454	-0.006713601202306946	0.019607436020111585	-0.0027216080473038973	0.013584334555748036	-0.014562659068230357	-0.0075103361863694505	0.00413752924246789
Z354A.H14CORE.0.P.B	-0.008423690577152747	-0.006994752084501673	-0.003353226969139186	-0.004222012482256939	-0.009745426251989374	0.0026097808033515007	0.004604473065112989	0.0010382076506653438	-0.007410339847717465	0.0012875875244114194	0.003934153627126005	0.0048925930535029475	0.0008808843382681984	0.0014587884422244096	0.00636110860595868	-0.006110299319467348	0.004536411059150902	-7.20837496812933e-05	0.003054909424001799	-0.0009562269356110722	0.002944538492965637	-0.0026154254373921965	-0.0030784245480757616	-0.008613641192488496	-0.004671414792833265	-0.00031291956172022767	-0.0059794738660669585	0.0031434653701123724	0.0001905852870343009	0.00501067090948823	0.004609673705014469	-0.003393940198133945	-0.0008289187966634155	0.003326669223189152	-0.005046325978946033	0.007317764760673549	0.002118885551525329	0.007519177445871578	0.0001512396163378645	-0.00010761000167445718	0.00685508246197525	0.009445973587766483	0.0012926631446701269	0.007265156264784878	-0.0005489571197085444	0.0028451735615166005	-0.0028942837247293214	-0.00349164588531976	-0.004976081878397339	-0.00800890880681429	-0.000855413351833968	0.005068120626155166	-0.0011877511097971236	0.0077047168313298525	-0.001657394604848799	0.008684876554222704	0.002693425016972244	-0.00012598662520285826	0.007468440279061238	0.0008507716351996066	-0.005296740073426759	-0.008579582704891175	-0.0009759645224403425	-2.030053941943881e-05	0.0015104318715142607	0.0009700937391805271	0.0008928270733405269	-0.000386065382690752	-0.0068664442963936164	0.0028937777469227773	-0.0030817368096769104	0.0019352181782633978	-0.0028984676227894425	-0.0006178112042862227	0.0018168420269339333	0.005788995259841393	0.0005585105054455378	-0.0050878558213203065	0.007132191883777967	-0.0030044151539276726	-0.004112807712991752	0.0012078253103597683	0.003704002319124298	0.004400288292006524	0.005428835769442948	-0.004094433741308217	0.003937816937535806	0.0021027943055751275	0.00384408519054567	-0.004418768461359676	0.0007194627716074174	0.0003566270528655585	-0.005364417465134656	0.0049164243865083114	0.00419660505831233	-0.002342731151877369	0.0036761591358026443	-0.005949328261939614	-0.005613953680285142	0.0019411623621686802	-0.0026294118507441157	0.007026088906660228	-0.0032635906642805284	-0.006634364114591168	-0.005651408066490862	0.005976865907772895	-0.0023273188833393245	0.0020870075141659894	-0.0014716840455355432	0.00664177964580437	-0.0023363332613489524	0.00668244855088003	-0.0006793654976023564	-0.0025779975280696074	0.007665339053530659	-0.003536770096587618	-0.004314231534139788	-0.0052798061329497326	0.0008290977486549271	0.005766531667523487
ZSC31.H14CORE.0.P.C	-0.0014075911975891513	-0.0008176056265083338	0.0024854830358782476	0.003408920389642918	-0.0017945417947179037	-0.0022349559202362555	-0.0015108377483981292	-0.0013805371206063403	-0.0014441085274507469	-0.0019137849375623645	-0.0020538599743660183	-0.0017820596819398578	-0.00010409181328715784	0.0010446082342887067	-0.0006758189938331468	-0.0006446347509471541	-0.0009147777505997198	0.0007961977324788001	-0.0014965097700738012	0.0017612146982696857	-6.570574380423272e-05	0.000618342358046739	-0.0012033527661449127	-0.00215048273519112	-0.0012069423856574135	0.00013673362659593572	0.001103239972922443	-0.0007892036878599472	0.00029878880506429965	0.0013190846118202634	0.0001847070676505658	-0.0013525471460666717	-4.733148473527564e-05	-0.0018025136693829939	0.0037776198016706434	-0.0006231492146485532	0.0012770618802399776	0.002486530750254558	-0.000164825874409932	0.003377139862262274	-0.0006297934031508782	-0.0018276425088941798	0.0013053042276012757	0.0028097083286739923	0.0003284678481683869	-0.001445201339050026	0.0019851420597399878	-0.001489806741109519	0.0008104961550238696	0.0017480128349207568	0.0018564190836209147	-0.0005050550418870593	-0.00024005335875582762	0.0015529201478684876	0.0012369345160750233	0.0010861170421011465	-0.00012181713619084829	0.0034244694428467253	-0.0011176492120600675	0.00022569288216497995	-0.0012124620109140137	-0.00021730906626168814	0.003455650848445619	0.0002539496261030644	0.0018728000193496352	0.0004414476143040041	-0.0004864049984457425	-4.222903965227969e-05	-0.0024736780111472984	-0.0003778943336814034	0.00023820908380846415	-0.0010627375875033838	0.0019813439895332054	0.0009957535056382676	0.0010712122207130366	-0.0010407619811255743	9.40504279500435e-05	0.0010399101716462083	-0.0014181171913160992	-0.0005521543726631634	-0.0014228137587900015	-0.00164452674665206	-0.001428771463322211	-0.00011806018938457456	-0.000761122200591568	0.002408532764387483	-0.003067457051665101	-0.0017331862932766923	-0.0009658588840895852	0.0009801204941904777	0.00028727386759720003	0.0016461345430531186	0.0017239965333914762	0.0014497114316680245	-0.0009362900511947417	-0.0015022497452678637	-0.0005023997284925672	0.0005080338207016305	0.0012146822189485849	-0.001861322569132049	-0.0015371021958600715	0.0022441948218897517	-0.00041994081212595085	-0.0012998262394377114	-0.0014236682267828376	-0.0030158611204800694	0.0013716078829389125	0.0019076897693729722	0.00137240128422107	-0.0014458537865427602	-0.000418720378466725	-0.0005915601188739459	0.00048289801266381384	-0.0023224577352076482	0.0010403108124373145	-0.0015040968907874541	0.004114519406820205	-0.0008345997308008783	-0.001066556379029103	-0.003051542235510304
