	mean	std
NKX23.H14CORE.0.SM.B	-0.004813835910100761	0.0009350016953822764
PURB.H14CORE.0.B.B	0.002104156789762987	0.0007043764205827103
CUX2.H14CORE.2.S.C	-0.007884865036595166	0.0009161353930354647
ZN665.H14CORE.0.PSG.A	0.019526911466803392	0.0006833094517173727
ZN646.H14CORE.0.PSG.A	-0.011785601440784353	0.0009572563611571778
ZFP28.H14CORE.0.P.B	0.0014853174489392294	0.0009283268620916434
ZN213.H14CORE.0.P.C	0.002636479804424738	0.0008092461070100173
HINFP.H14CORE.0.P.B	0.013498563894426609	0.0006812728190250237
ZN282.H14CORE.0.P.B	-0.004090628792557102	0.000771764962846548
ZN133.H14CORE.0.P.B	-0.024437985516426928	0.0007501251035205204
IRF9.H14CORE.0.PSM.A	-0.015544149366974767	0.0015096316979898191
Z354A.H14CORE.0.P.B	0.021646316389256813	0.0010630229215052537
ZSC31.H14CORE.0.P.C	-0.005787550103895455	0.0007108901151434054
ZBT26.H14CORE.1.SM.B	0.009691834159873403	0.0008795798144275677
PRD15.H14CORE.0.P.B	-0.012132017320917468	0.0006249416097649787
ELYS.H14CORE.0.B.B	0.009179128052636373	0.0015380390957552858
ZN322.H14CORE.0.P.C	-0.009942064322774806	0.0008555258333520155
ZFP90.H14CORE.0.P.C	-0.0012672871357253459	0.0006665314283470413
ZN304.H14CORE.0.P.C	-0.007684990537655731	0.0006760172848999892
ZN689.H14CORE.0.PSG.A	-0.0045217003876892765	0.0006844775315918411
SALL3.H14CORE.0.PSG.A	-0.0041899643962957644	0.0010587231579508324
ONEC2.H14CORE.3.P.B	-0.0006510370442783017	0.0010377253935422125
ZN660.H14CORE.0.SM.B	-0.0052527224927844075	0.0007766336282351057
ZNF92.H14CORE.0.P.B	-0.004394073182887067	0.0006358190041884076
ZN331.H14CORE.0.P.B	-0.016545146190901795	0.0007917919868871629
ZN667.H14CORE.1.P.C	-0.0037535275792440004	0.0006506923241893606
E2F4.H14CORE.2.S.B	0.05285144344483196	0.0007550798806448351
OSR1.H14CORE.0.SM.B	0.003899781854790483	0.0008168359463568795
ZN75D.H14CORE.1.P.B	0.01931284099530089	0.0006978338460334727
PAX8.H14CORE.0.PSM.A	-0.006495659097800409	0.0006146622171864116
FOXB1.H14CORE.0.SM.B	-0.01707051667248734	0.0009218393100354444
ZN716.H14CORE.0.P.C	-0.015015247369403273	0.0007980271372725429
ZN587.H14CORE.0.P.C	-0.00932862835660317	0.0008947127011742503
ZN141.H14CORE.0.P.C	-0.004482065387995216	0.0008654196965418474
ZN681.H14CORE.0.P.C	0.006739027960682832	0.00098573360404965
ZN205.H14CORE.0.P.C	-0.003500309601061666	0.0006885954153341611
PRDM6.H14CORE.0.P.B	0.0024768211726721966	0.0012888503309010611
SOX9.H14CORE.2.S.B	-0.0283201115796242	0.0010273668818663627
ZN165.H14CORE.0.P.C	-0.0011119639173625463	0.0006781915558998218
KAISO.H14CORE.0.P.B	0.06279318302442602	0.0008559312983848902
ZN507.H14CORE.0.I.B	0.01042629054552116	0.0007202637267032187
ZN180.H14CORE.0.P.C	-0.029762758005592603	0.0012000693167911658
REL.H14CORE.0.P.B	-0.014792234386147941	0.0008334159191850651
HOMEZ.H14CORE.0.S.B	0.0014356477956095556	0.0006589894058531857
NANOG.H14CORE.0.P.B	-0.0017133073982530406	0.0008809160708801308
ZN479.H14CORE.0.P.C	0.01268412052793982	0.0006443748392087031
ZN483.H14CORE.0.P.C	-0.0002532889916200178	0.0007348145930246045
ZN302.H14CORE.0.P.B	-0.007700789170794825	0.0006694158757235292
ZN773.H14CORE.0.PG.A	0.007064584148577659	0.0007484493750561164
RARG.H14CORE.0.P.B	-0.03307691365059942	0.0009793715322324425
STF1.H14CORE.0.PSM.A	0.011183972986594383	0.0009193648859690223
ZN730.H14CORE.0.P.C	0.012414966719362496	0.0008365206148984091
CASZ1.H14CORE.0.SGI.A	2.9904427079483625e-05	0.0008456715217286352
MYPOP.H14CORE.0.PSGB.A	-0.0065455326569218986	0.0007693940885158308
ZF69B.H14CORE.0.P.C	0.008738844198495598	0.0007139943189754153
