motif	tau	std
NKX23.H14CORE.0.SM.B	0.0006197579192528013	0.0002360537692807178
PURB.H14CORE.0.B.B	2.685928018866652e-16	0.00028479753824133875
CUX2.H14CORE.2.S.C	0.0009636832642995278	0.00016649406607917083
ZN665.H14CORE.0.PSG.A	0.00027495158499497683	0.00020714329091316418
ZN646.H14CORE.0.PSG.A	3.518635223029485e-05	0.00023638357262955136
ZFP28.H14CORE.0.P.B	5.22486592990914e-15	0.00016129378197978576
ZN213.H14CORE.0.P.C	0.0007218016522246541	0.0001924853393198081
HINFP.H14CORE.0.P.B	0.00011478184261391351	0.0007882202396737346
ZN282.H14CORE.0.P.B	3.413016657039601e-20	0.00038661211153736625
ZN133.H14CORE.0.P.B	9.934516554230288e-05	0.00017554296489172928
IRF9.H14CORE.0.PSM.A	0.004590923670754064	0.00022751254986129566
Z354A.H14CORE.0.P.B	0.001190477670559383	0.0001344314177922655
ZSC31.H14CORE.0.P.C	0.0003001872236419854	0.0005929259747072519
ZBT26.H14CORE.1.SM.B	0.00034679882679734396	0.00026724032563284255
PRD15.H14CORE.0.P.B	2.881868825641619e-05	0.0001420899532317595
ELYS.H14CORE.0.B.B	0.0018960774270239532	0.00016472036618443264
ZN322.H14CORE.0.P.C	0.0009637588280094936	0.0003007838045947815
ZFP90.H14CORE.0.P.C	4.208632334697853e-05	0.00021490479534952764
ZN304.H14CORE.0.P.C	0.0002232672232928541	0.00022203366340014824
ZN689.H14CORE.0.PSG.A	7.087500453254736e-14	0.0001924408401363634
SALL3.H14CORE.0.PSG.A	0.00019946906085594162	0.00024080573265525612
ONEC2.H14CORE.3.P.B	5.821895106426846e-17	0.0002783096965004741
ZN660.H14CORE.0.SM.B	0.000576534020179306	0.00021020674448923786
ZNF92.H14CORE.0.P.B	4.546265155745673e-17	0.0002886642298698972
ZN331.H14CORE.0.P.B	0.0006477605787631943	0.00027149240115971
ZN667.H14CORE.1.P.C	1.1876561232647568e-15	0.0002834524670649794
E2F4.H14CORE.2.S.B	0.0003687236783046401	0.0001596088770809098
OSR1.H14CORE.0.SM.B	0.0008302341730892416	0.0005038010470903739
ZN75D.H14CORE.1.P.B	5.446261372578425e-14	0.00038309715109876544
PAX8.H14CORE.0.PSM.A	7.883227956954605e-14	0.0002557481518958222
FOXB1.H14CORE.0.SM.B	0.0005462500653645644	0.00015712815887629407
ZN716.H14CORE.0.P.C	6.648937001835517e-05	0.000489421162212697
ZN587.H14CORE.0.P.C	0.0011746848101326585	0.00021910885974636652
ZN141.H14CORE.0.P.C	0.0009619231029951667	0.0002741569500758319
ZN681.H14CORE.0.P.C	0.0002769342106497256	0.00017377076477956475
ZN205.H14CORE.0.P.C	0.00018302538310451227	0.00017416097760008443
PRDM6.H14CORE.0.P.B	0.0021331272250856904	0.0003493967529055543
SOX9.H14CORE.2.S.B	0.0014861334712927476	0.0002681953570535127
ZN165.H14CORE.0.P.C	1.2330267947375122e-14	0.00020460014789358782
KAISO.H14CORE.0.P.B	0.0008786719155974482	0.00020151184754930957
ZN507.H14CORE.0.I.B	0.00016166281394912595	0.00016465729590903444
ZN180.H14CORE.0.P.C	0.0017696766728305757	0.0005206228833790628
REL.H14CORE.0.P.B	0.0005737242532151109	0.00033363579823821374
HOMEZ.H14CORE.0.S.B	9.362271043582573e-14	0.0005901141243388724
NANOG.H14CORE.0.P.B	0.0005957178228884847	0.00026587753112011726
ZN479.H14CORE.0.P.C	1.3557520993914952e-15	0.00016661327361405185
