	mean
A1BG-AS1	-1.3441037295904856
A4GALT	-0.3231426338886902
AAAS	0.4121016962876091
AACS	1.1028389382322359
AADAT	-0.37025042412930337
AAGAB	1.1631217357565777
AAK1	-1.2691366099000614
AAMDC	-0.9421202946883183
AAMP	0.8837818879434921
AAR2	0.4921677144937694
AARS2	1.1393024038473767
AARSD1	-2.047545994990523
AASDH	-0.584936305209368
AASDHPPT	-0.13888301737626038
AASS	-1.279770936912689
AATF	-0.7763873279720515
AATK	-1.0636254238504224
ABAT	-0.44944781918658466
ABCA1	-1.5228487011319038
ABCA11P	-2.230856360045119
ABCA12	-2.0000770864287754
ABCA2	0.8564919827204974
ABCA3	0.6300903431333611
ABCA5	0.12355611373139302
ABCA7	0.8402591991091378
ABCB10	0.7406250727210518
ABCB6	-1.6563096395246548
ABCB7	0.21075029644098733
ABCB8	0.619062765243325
ABCB9	-0.22579600514209933
ABCC1	-0.027273482496246733
ABCC10	-0.13354228375785535
ABCC3	-2.2022579510165547
ABCC4	-2.0801447903919406
ABCC5	1.394988949377844
ABCC8	-0.14430742421757692
ABCD1	-0.5503441457619965
ABCD3	-0.28086350436484997
ABCD4	0.8051298421449316
ABCE1	0.4093490786656405
ABCF1	1.132962611270089
ABCF2	0.4121879462238859
ABCF3	0.11830112871483424
ABCG1	-0.8075253405797197
ABHD10	1.2062256013061132
ABHD11	-0.2657680019414992
ABHD12	1.2947802039111223
ABHD13	0.513233240869321
ABHD14A	-1.1631140816108434
ABHD14B	-0.6587081625608608
ABHD15	-0.5558080367078093
ABHD16A	-1.6078973034529254
ABHD17A	0.4892028046499693
ABHD17B	-0.8331755481073703
ABHD17C	-0.5689675502600154
ABHD2	2.403140887599375
ABHD3	0.36104223277494774
ABHD4	0.3167824332042533
ABHD5	-1.1169306986093548
ABHD6	-1.1630707211172118
ABHD8	0.3652819073016555
ABI1	0.30874098324070354
ABI2	-0.21778326672329035
ABL1	1.5605137375858147
ABL2	0.19751304092049277
