	CDX01	CDX01.1	CDX01.2	CDX02	CDX02.1	CDX02.2	CDX03	CDX03.1	CDX03.2	CDX03.3	CDX03P	CDX03P.1	CDX03P.2	CDX03P.3	CDX04	CDX04.1	CDX04.2	CDX04.3	CDX07	CDX07.1	CDX07.2	CDX08	CDX08.1	CDX08.2	CDX08P	CDX08P.1	CDX08P.2	CDX09	CDX09.1	CDX09.2	CDX10	CDX10.1	CDX10.2	CDX12	CDX12.1	CDX12.2	CDX13	CDX13.1	CDX13.2	CDX14P	CDX14P.1	CDX14P.2	CDX15P	CDX15P.1	CDX15P.2	CDX15PP	CDX15PP.1	CDX15PP.2	CDX17	CDX17.1	CDX17.2	CDX17P	CDX17P.1	CDX17P.2	CDX17P.3	CDX17P.4	CDX17P.5	CDX18	CDX18.1	CDX18.2	CDX18P	CDX18P.1	CDX18P.2	CDX20	CDX20.1	CDX20.2	CDX20P	CDX20P.1	CDX20P.2	CDX22P	CDX22P.1	CDX22P.2	CDX25	CDX25.1	CDX25.2	CDX26	CDX26.1	CDX26.2	CDX29	CDX29.1	CDX29.2	CDX30P	CDX30P.1	CDX30P.2	CDX32P	CDX32P.1	CDX32P.2	CDX33	CDX33.1	CDX33.2	CDX34	CDX34.1	CDX34.2	CDX35	CDX35.1	CDX35.2	CDX38	CDX38.1	CDX38.2	CDX39P	CDX39P.1	CDX39P.2	CDX40	CDX40.1	CDX40.2	CDX41P	CDX41P.1	CDX41P.2	CDX42	CDX42.1	CDX42.2	CDX42P	CDX42P.1	CDX42P.2	CDX45	CDX45.1	CDX45.2	CDX46	CDX46.1	CDX46.2
NKX23.H14CORE.0.SM.B	0.6940507338539676	0.7583535673450108	0.9237092305728941	1.4092352698887742	0.8675576486327563	0.618817485529659	0.8257067349628175	0.34385456702220285	0.8342433075518136	0.9726213605035258	0.7618501892562958	0.9065947386580189	0.7760869544412371	0.7303170163341502	0.9610552317015802	1.6055233587836855	1.1139617631985101	0.8995275936854367	1.3121390911318074	1.031436341892779	1.2883819061770212	-1.0382013443383662	-0.7830591608269587	-1.160882121101722	-0.6777581987265029	-0.6783854229608917	-0.7215104090426403	-1.2160927640945511	-0.8936751552668311	-0.7395866309191447	-0.5688615927447147	0.06937172492375318	-0.1874752543313293	-0.36181885459042895	0.11331037555282342	0.17639585370194855	-1.0352674932224417	-0.8024720333895448	-1.0715314629302684	-1.091981404519786	-1.2454757288679963	-0.8064772136758801	-0.5351786968441872	-0.6373448668055833	-0.6006316329669094	-0.7433999477124353	-0.47363196344633407	-0.3843825723408631	-0.0279157660245744	0.04189717220500585	-0.08474167592721023	0.4510649409728319	0.6344890834751913	0.47135775809381586	0.5204762336383479	0.3247281309328277	0.3962344226600087	-0.13496364976104938	-0.014588205385485819	0.02174237633873545	0.11576842178177799	-0.039587017628104904	0.059348639784108634	1.0422878188528837	0.836721141160574	1.048401805853304	0.9388128957982833	0.8890593730042734	0.8935464518450753	-0.4815148331112779	-0.3188078013187935	-0.6566819459999113	-0.7047971369141939	-0.6703901050217439	-0.5239876555825342	-0.07257095163202161	-0.13132677941479032	-0.11749157702705233	-0.8930580478394841	-0.8260438996238407	-1.0311139186080587	-0.198800019442163	-0.5780868084555608	-0.5692051149507961	-0.5610428829245532	-0.33282272094960363	-0.4671674823296985	-0.7385665132854997	-0.3462579508958858	-0.4924921355369174	0.7033420701004115	0.5003846084043848	0.14998911871126389	-0.9352106853342452	-0.7653960642632799	-0.8542256202079886	0.03345738457361059	0.1303003470242382	0.10324726395010361	-0.5761889065313376	-0.4883470100222582	-0.6188466855723098	0.45390926108509577	0.522773864014141	0.43873225838324087	-0.27695278422436115	-0.644061151440636	-0.5537700936019511	1.2760453816634563	1.290819099050254	1.3608457256306907	1.3316112720657602	1.145041731297608	1.0013429722889644	-1.348707424226145	-0.9743605166163831	-1.3556369049614723	-0.5249231974037614	-0.7220705835393776	-0.8673424746252996
CUX2.H14CORE.2.S.C	1.2071805760306547	1.0260036701636421	1.1058347537453455	-0.5021447521586739	-0.2974607770027597	-0.22999526480872898	1.4315843079593453	1.168445630458746	1.2686456137939808	0.785568491332318	1.0825390248357158	1.1833775916424418	1.0528526868482897	0.8138013988201276	0.5166592474131613	0.4219213381146333	0.5604008799258291	0.49919792287144604	-0.12560744289870995	-0.031237478019311916	-0.20748497625050014	0.1535448120897733	0.06861364379396707	0.18246521313372532	0.7144249253119286	0.8696270464932673	0.7296670682611501	-0.8013435315829414	-0.9017367561514668	-0.7933372236609392	-1.2718698400974415	-1.758463332706806	-1.9913199051555075	0.43907505896653265	0.2682635171483466	0.8543642832225786	0.09479931991558406	0.01066365387191449	-0.0637500759269776	-1.0713503243214608	-0.8450439709867298	-1.2633493752837772	-0.7594869357642124	-0.4796412624749359	-0.750635435389997	-0.5053994372492789	-0.3313564866625259	-0.4575967139371088	1.1430019589326643	1.1799805761735296	1.1109882132633926	1.0877665964524232	1.0467711638913464	1.711165265950888	1.6621296418185565	1.6505376036502846	1.6265325346162323	-0.5528217056961674	-0.3858435733298403	-0.5031409559336077	-0.6623395293134007	-0.6589466591068951	-0.4732946896577118	-0.05767778544629283	0.0036064071087624793	-0.07527927254488186	-0.4229646217213023	-0.1890037285527463	-0.1445754791768986	-0.5311594757224428	-0.557240708507935	-0.687732502033906	0.7003294287007975	0.41905208136172245	0.7643955644037232	-0.5488140900569265	-0.48541584972386626	-0.4122129118623416	-0.12783895729833444	0.06712305329368246	0.1978754103601361	1.6550638806722002	1.2757248268847992	1.515907663125604	-0.8265850116107991	-0.9816178134961484	-0.9271916442498503	-0.49069614043129034	-0.25855111958186844	-0.26425825822729987	-0.7610077387766969	-0.6855901349851956	-0.769865086936292	-0.327602895560588	-0.3939511008182559	-0.10122693607316512	0.850685195607186	0.7586167147618362	0.7053320700205543	-0.10967619105978106	-0.19331976909383547	-0.24290163813003024	0.5592858567105785	0.7153772559334685	0.5625593743624573	0.3079459871597648	0.17674960037958784	0.4738108593486702	0.360966020286339	0.38110375922247486	0.3224762102075763	0.5157231410686617	0.5254487718782838	0.3830036528651367	-1.3482421385672392	-1.157187982671092	-1.1208717522048528	-0.3804886987644424	-0.4403635340176317	-0.31596754449604575
ZN665.H14CORE.0.PSG.A	0.34625419069792474	0.3772602336062775	0.6689980379418097	0.42342821925308793	0.08706726418977667	0.030764825982468137	0.20602601222073338	0.05794481162757924	0.4185014908620939	0.3499295416448488	0.16481275313604515	0.2923964360934077	0.019450071466795022	-0.19272247760004324	0.8636691537201234	1.1198577627288664	0.6631159082608088	0.49568435577946907	-0.7691673281631103	-0.6443271237078981	-0.6442652823482253	0.6759569728314981	0.5058789760524514	0.5478905192507998	0.7322821649248328	0.7278352690721792	0.7634635392800002	0.30995733084703436	0.6609239584668686	0.6866996558661436	0.07319376840943524	0.259934454505346	0.08573303328052567	-0.8117355750017494	0.4823767559449281	0.007730773657250878	0.864409726109919	0.8507417264194191	0.9303270980668282	0.17898872413183012	0.25672336298732945	0.08808537466815165	0.544696447310134	0.4882944992798471	0.6059607077967678	0.3181676615915148	0.3507923431079704	0.2006694244770988	0.4531921169187716	0.650340955562512	0.7311873682547232	1.0762641166052977	0.9934572181035551	0.8640809953078541	0.5651375521008418	0.5338391197632936	0.6121527745865712	0.10339655724559359	0.23876109717461727	0.11044489003000107	-0.039808255620128276	-0.07333215951893107	0.04924461340757691	-0.2881269742553382	-0.03214108995486695	-0.3413655801711321	-0.3926200514512869	-0.3054105565765774	-0.24965787690620836	-0.04775310276381673	0.005613271102036256	-0.1601145090613372	0.13800334393971975	0.18243013709134587	0.2942481567563889	-0.7946828923042688	-0.7495411149812102	-0.8559244650740246	-0.22857437621411827	-0.09761932037488683	-0.08050350987823986	-0.4579084802667884	-0.3976303867238934	-0.525226926597146	-0.47384391280829147	-0.4385125357760896	-0.41978001969348855	0.3793729759872614	0.2676710827620266	0.34150912310064274	-1.1897739577036277	-1.1286251761750485	-1.4136503425886011	-0.5110401181159548	-0.42391643163677967	-0.7258817990483932	0.34901191390292857	0.47491885479742657	0.3003956601976893	-0.13046709254573963	-0.1778462300580911	-0.07545965272396919	-0.34746677532560377	-0.5931317136308156	-0.4526860751207562	-0.9288882065437503	-0.8197486881693737	-1.4743062169635812	-0.3772092416924227	-0.3987803794043168	-0.4415159384705913	-0.4286601074338109	-0.462373814841072	-0.5022527815364636	-0.5821284776261051	-0.4362763626732343	-0.4080341426991515	0.1677374539071617	-0.0015920248752083626	0.16292672081817255
ZN213.H14CORE.0.P.C	-0.8102413179736178	-0.9773471229433877	-0.9114751217813022	0.06898731240564036	-0.2101086145650161	0.01688360576519369	0.15706890690854086	0.14650721815989365	-0.004500440950376095	0.5018306616717663	-0.6879727956404159	-0.9118188157308679	-0.854807893027712	-0.4430167055324228	0.023085661740326207	-0.6437576995647067	-0.7942075052595886	-0.9773402539156846	-0.5261690193093647	-0.9356575066141718	-0.9326287023276645	0.4903849764110503	0.47424327865857263	0.1393234775997245	0.5229826982200656	0.47393035956727547	0.6195354702058167	-0.6993152484542143	-0.7433371927675108	-0.6875829229275834	-0.47807021596213206	-0.6737657036886546	-0.7518725699497607	0.11057072370104513	-0.05493858316581402	0.47016693601963505	-1.2431428522705337	-1.2064680454632046	-1.2737638572198817	-0.7376056197988424	-0.9268334182363858	-0.5294309586392959	-0.6063009821722865	-0.3723030265809017	-0.40143161301392544	-0.7654580575830058	-0.03219435768287845	0.01630562107783407	0.7375598067915592	1.4802839981907452	1.3338230372457227	1.630347150560588	1.7096579993360648	1.5114916943735441	1.2404352084585126	1.3861297639918349	1.4171658213333624	0.8454064042202504	0.3682293703389016	0.413551716306672	0.06657048914571667	0.04629243232865049	0.30941055018177066	-1.382319457366786	-1.170676166824034	-1.1024883782348447	-1.0181031448082238	-0.909283705910521	-0.8840705275577142	0.3728029749721867	0.40506469234062487	0.3612583150108457	0.977195661370093	1.178362601297471	1.0950279104076628	-0.09624926387073489	0.06325655242974275	-0.0804225016379338	0.5085918787980493	0.9230560039849774	0.7011409004651892	1.3102307220729479	0.46854123598598096	0.7626025711206653	-0.694543010456322	-0.7117470718798073	-0.914647586040334	-0.8897561985256867	-1.1808981189778611	-1.3054120935526494	0.7445222535484305	0.7375369577411826	0.605313249261138	-0.4894273220087752	-0.8952623847112703	-0.6929335620080396	1.1309163676764866	0.85932831208477	1.0842423900995888	-0.030482904185450483	-0.021869174409960307	-0.21736986725466814	-0.08931931507097976	-0.18435062434283667	-0.0328244795882437	-0.04203489539662968	-0.7371579609887327	-0.34393796036343827	1.0836809656180768	1.2125200479301075	1.1894401512487736	0.8591003664111426	0.811024334290834	0.8857373584572271	0.2932260606581027	0.37263562267810196	0.6312120173692112	0.09158275125094616	0.06184668821868249	0.03839862958110095
HINFP.H14CORE.0.P.B	0.27640480637198556	0.23089518894293448	0.2689338098512531	0.1935558215659646	0.4795844330718946	0.23881195461598428	0.5213748271530985	0.373352992255973	0.19690705366793756	0.38527501244457796	0.3982343382513684	0.287375679374777	0.29828616392658136	0.2675957819946115	-0.41021191913764526	-0.3860953918890084	-0.37046105658710443	-0.32826800160735264	0.252432954953986	-0.017513774875148068	0.05067953343232989	0.2760803614834304	0.324206064294707	0.12451249810291333	0.31434342617532696	0.1805178757424552	0.381034085637035	-0.09800391955642668	-0.2488512234937221	-0.1919821726742056	-0.12250335827102768	-0.15738802898511411	-0.09123192287076329	0.4191554898029227	0.16862263743903677	-0.2311881265746901	0.14769758169922634	0.01911404622775283	0.12808885596971545	-0.042983189428385984	-0.2993472755990961	-0.15007194576665123	-0.3150671667255649	-0.2801565156323766	-0.14749300607372734	-0.3544595110239953	-0.3613310784487136	-0.18618639634334122	0.3640370206261075	0.030698396975919393	0.16230098021719933	0.4628578288054404	0.6398335884290004	0.2009130222468991	-0.1760853242191411	0.11731744949715746	-0.16682753009520168	0.17106470801065476	-0.04968700355296044	-0.014717346486391777	0.23468320288711675	0.14878591858568896	0.2515589293801152	-0.3166707268534623	-0.41448359232608567	-0.2394964334578686	-0.01963991609967726	-0.007069990971378889	-0.0036549078082034523	-0.018209123152405016	-0.18175047756481694	-0.01843232967861649	-0.3228375613264264	-0.30442455021893206	-0.19526676033540552	-0.24566736490243693	-0.22305538557754034	-0.17777127224900127	-0.20509325923730695	-0.22989580118855268	-0.47201883997446625	-0.39981961043451164	-0.5409534422909779	-0.6251903653827856	-0.07060065815100705	-0.028502340420454454	-0.2659965797478105	0.4248597441629603	0.5958328727744033	0.34593809575429463	0.4792926242457081	0.40037411497668707	0.2660998368930584	-0.49749564666307755	-0.43188956325063693	-0.517520862683176	0.0651408860721418	0.2198759588301473	0.15528780584491184	0.018694903490806648	0.1103453210831364	-0.023686084315610475	-0.2096496142068004	-0.03616584023154484	0.028833359858892627	0.46421159273678814	0.399332816638789	0.7488329635072499	-0.20590088617379773	-0.04836503855029256	-0.14716102030284176	-0.33456591858962487	-0.17743951773792999	-0.16337642930170448	0.05555049924653734	-0.07595411254729242	-0.03695998215982564	0.1859489551207106	0.19818243307577127	0.05338515487336744
ZN133.H14CORE.0.P.B	0.38518470618346473	0.35679923554551696	0.5459913920643373	0.12869708891135304	0.4641810604816209	0.4270302966842869	-0.0431284995132516	0.018467540670509815	-0.1842980173397148	-0.3478210347585487	-0.24375798874216395	-0.16427010052550334	-0.17269700843986777	-0.2633391984232823	-0.3896310159550724	-0.4916412830126852	-0.016749145591714837	-0.06262423499676366	0.04453061283995266	0.16475379695483353	0.1940043697199108	-0.29125812827956055	-0.3451442073425749	-0.37447453823089216	-0.11873322991388548	-0.19676568373812137	-0.17006444629431894	0.2140837654391946	0.13686282515027026	0.2121761672968018	0.10267723042665013	0.21569524912727236	0.34521775480886885	-0.19825631271810612	-0.014842014867734012	-0.024324688178588277	-0.519986207717208	-0.5600631356037742	-0.5504717485982056	-0.5383776652337546	-0.6669014367908741	-0.6154158293493287	0.2734233348043234	0.19777384486843597	0.22956976292406267	0.08613042489467823	-0.0030610172214769658	0.018111665943729923	-0.15305260608799562	0.12106778193826019	-0.03863561408810738	-0.29391667428180074	-0.3172525387354548	-0.11737674967427889	-0.07041039130775421	-0.07540701228824034	-0.06456462651212107	0.16083783407680957	0.07205561395023379	0.06562937920821099	0.2012918047389118	0.1562359033578221	0.1891590449938189	0.27728556472864846	0.2508571465935113	0.3710220047644874	0.34952916351729874	0.3381095222676385	0.3530925053792061	0.06245231316847877	0.03840622359207005	0.04920179565297716	0.08253578991357886	0.08071262184424456	0.13014187697520582	0.1883131461181104	0.11996883998146302	0.20130627148969213	-0.4036328107717798	-0.5158611793026115	-0.6615033247842558	-0.22040990556774018	-0.14700795242134576	-0.21019438689035488	0.20811690222312398	0.2619914662005389	0.13520026709242183	0.2951018187367611	0.22805893207719974	0.21962355521494994	-0.3712149251025139	-0.37958927510315005	-0.21735446713596865	-0.40075176715379945	-0.2778998127864073	-0.3449922349548129	-0.13699614660499862	0.005554245329313461	-0.06544803294034256	0.05623695125644962	0.09884757938182846	0.002948938888595728	-0.1196395722046404	0.03766224935815698	-0.09636599349132514	-0.30143614050081124	-0.13163007097087917	-0.12037171200830686	0.04699752966502429	0.07940601662324084	0.10021102856810207	0.011880396578692724	0.06049685479458931	-0.00256290800331159	0.06996419330608639	-0.025757894959583513	0.04497344720492632	0.02890788217906708	0.014588631320009418	-0.037715218440421625
IRF9.H14CORE.0.PSM.A	1.463272029200312	1.671278917865794	1.244768548975407	-1.103249286240392	-2.013108246156702	-2.2919677810487222	0.7772301129128203	1.2036073081574126	0.8356438102262927	1.052460607532373	-0.3456740914764538	0.359523716294717	0.16575776734266576	-0.08033665257813673	-2.0084456686507908	-0.07485664418665905	-0.9869651439542055	-0.33614638705051175	1.2064965080695413	1.897332401595143	2.6102748503045268	-1.475693403395057	-1.9202670304480103	-1.2245473482000129	-1.7980990934231003	-1.7839213251668813	-1.2799674362664037	2.408784730394576	1.643963708360906	1.1022892580045611	1.1862917169378797	2.336748857575271	2.3682564240954433	0.3567255154459659	0.7693487968480809	-2.498544785060366	1.9857608031527523	3.5040559370501994	2.0979227356533383	-0.8103299888216323	-0.8487725518744248	-1.6393089583310998	1.3734586752171916	1.7214043899491958	1.8076378326565397	1.5357894589892067	0.5007350544754452	0.540877305849337	0.9657268762122734	-2.2656795590887775	-1.5554850026712446	0.46639183995164313	0.7819204178483172	-1.9617772661441295	-1.91691800355551	-2.074888912004246	-2.0066272054379297	-1.0717469288843564	-0.6573390773913095	-0.5427203858618679	-1.0560732069099052	-0.7350363891536768	-0.7012078202595133	-1.230595680625186	-1.0545445165648017	-1.591387810205149	-0.4343937071674018	-0.36900789232629144	-0.9292333478389416	4.10991191873627	3.8759251550512577	4.50489110796078	-1.4648258476822955	-1.4800233159477654	-1.4318546041360338	0.824826340022616	1.0226823008223875	0.6897038702839758	-2.4207939617915883	-2.567353030714282	-2.136830582299865	-2.628826377963002	-2.3971373903307023	-2.392243781884198	0.680804000899051	0.4205470639280365	0.615209661895045	1.286704684662159	1.4965778085953765	2.20636898042606	1.1874242279690674	1.2800803229497948	1.1792936985994682	-2.2126530944820075	-2.803541377516224	-2.0071469534954236	-0.9496573413209768	-0.23736516046274356	-0.7576243142827951	0.8009454627474621	1.2309973417685314	1.0493032719733648	-0.24356370755835832	0.22443366116569174	-1.0512865117328316	2.6357568548608317	2.433698714932727	2.503881523497995	2.385077718921253	2.3091501996940225	2.35115456850839	2.477942052579341	2.562364248674202	2.500880038138204	-2.1108037132885493	-1.5079093943983748	-2.3773876321703504	0.1140758860635513	0.3456079528792363	0.47202228795129014
Z354A.H14CORE.0.P.B	1.1805495143338818	1.2422709776809935	1.2884298805141055	-0.7458257313666773	0.4946061712338053	0.2615324834872749	0.8756934278369867	0.6729777889137835	0.5836288394545484	-0.5287633725109149	0.3393742161019652	0.6402592216885995	0.6350211151443819	0.3397758926809097	-0.34608132909062106	-0.43024119485388923	1.3439036659869419	1.15523677398216	0.9309183441008689	1.0598088310972622	1.3666539465825727	-1.3304278633396203	-1.1135343095378707	-1.2200886832561706	-0.6943553022672455	-0.8280821832944848	-0.8740762049868477	-1.055739530874595	-0.6067374091532635	-0.4714990718681724	0.15175368790651544	-0.11498596334243089	0.3078647377358922	-1.133290857269184	-0.7078487974838014	0.11425765249269297	0.8498648662728295	0.9816207089932737	0.8744935460197006	-0.5472755926614411	-1.1025623105416018	-1.3747877751617295	0.5234926762818597	0.31927515824675606	0.3741417755832325	0.06511724465980506	-0.037605742140093	-0.08347490549497856	0.16726972708681304	1.4224470515915075	0.6967831597823991	1.0020742326353644	1.0274973442405317	1.0848793909162364	0.0764937081294059	0.43589956824729575	0.48195163676043473	1.0930987957470046	0.4954174285873211	0.818041896237432	0.8811260463872252	0.6311308805819802	0.7606862734163012	0.14194933029574927	0.15909739016558827	0.3714029916025402	-0.05795042489949608	-0.1290284290741146	-0.173114746448835	-0.035330196770524326	-0.1922347855678792	-0.030265959521923142	0.699510228789439	0.5587420117182519	0.9529041447727412	1.110129414465364	0.7371420004126893	1.1667559358102242	-0.7675927459385473	-1.0048373087870255	-1.3397850185822051	0.4190027618463035	0.4326145529758254	0.14050401141954522	0.8082488295219906	0.7851324904516752	0.32608922205341556	-0.591156593234106	-0.7819062371758652	-0.8215468802334533	-0.6068640638699686	-0.8260577058237923	-0.20484786493824556	-2.0542899274389845	-1.4000779796155265	-1.7788642600420235	-0.6839066502827139	0.18985926919566862	-0.46368448030153014	-0.23050677643586986	-0.0551065533134231	-0.28686125308341126	-0.7702638320962089	-0.6491068495592015	-0.6025703237364484	-0.5637025312105243	-0.021266377778465725	0.12672381874728805	-0.2843305438151156	-0.14165353332484565	0.011452025275477389	-0.1204764386172894	0.11420299420128492	0.13317784598519236	-1.0891620044888766	-1.6553637498661558	-1.2350187113765798	-1.1886668920927848	-0.9769587829859558	-1.2365619123139542
ZSC31.H14CORE.0.P.C	0.669630604719644	0.8627076478722884	0.8360697990645062	-0.43217219824697856	-0.9503890286181484	-0.7547956675297409	-0.5679459591420677	-0.1410844934796567	-0.5496188498582406	-0.10801650089257799	-0.5297168512878333	-0.6027073689300079	-0.4320114424867307	-0.5906905659194349	-0.09562317154941279	0.23723844870218241	-0.34171778682787407	-0.1907392513565254	-0.31940141039315034	-0.2543415669079048	-0.5036684997688634	-0.3537495031164794	-0.19753036189950748	-0.38697493106498027	-0.38157568414330595	-0.20823883806503946	-0.31783448365089695	0.5782945710243921	0.07963741503529266	-0.13901566864749548	0.09300685610384898	0.46236658209106174	0.3122715824396924	1.4599672490585223	0.31549324626998604	0.17687037699135671	0.1922441991089669	0.19268349436970975	0.28641249878638464	-0.7608035608599008	-0.44517014066585786	-0.4158371137143916	0.5748724543417336	0.5823604883930357	0.813995884487669	0.6546027547985445	0.15006828422781734	0.12462454542743251	0.2557429366091057	-0.47350048182245796	0.03565878810355478	-0.15182587837693334	-0.14448484171613238	-0.15810556472123402	0.05793346015453874	0.0032200025690900798	-0.05937163072175945	-0.17727226327770243	0.010507619026685162	-0.015030274932103791	-0.3187619617040144	-0.2514658249696834	-0.30908198465559916	-0.015249202524497988	-0.36430614974044556	-0.34654937870926844	0.061790212144896134	0.16263654819982096	-0.009717342080163836	1.0915575884992992	1.0884803190837244	1.1348275503320464	-0.23002797572801642	-0.33913993172211804	-0.33851760804055253	-1.0006757687252044	-0.9907225957508357	-0.9998166802408592	-0.3158011516519813	-0.16998934625153536	-0.06183004362426431	-0.38854049128908946	-0.3910545766576416	-0.37121981928075076	0.39248118165663237	0.42200567216700047	0.5817325015833236	0.7974021387682136	1.1106010651035354	1.3657190023172021	0.7344869837576048	0.8528874318868644	0.7164321401500731	-0.6476653168189226	-0.8056033582486198	-0.7412289530538759	-0.37555786793653284	-0.4374265856835293	-0.43096380615404906	0.37440545252285207	0.3912278708750671	0.5021430444412784	-0.42645688745785504	-0.36147615697760666	-0.3948163354830647	-0.24731847791724426	-0.08982045550222795	-0.19826341789912144	0.4462373317974057	0.3705864303137756	0.2941840054792204	0.1309436753457486	0.12585741090942582	-0.13723385450641734	0.3951339609765732	0.6094349738479172	0.4610237707440915	0.18977177137854861	0.28938550727873824	0.36213595365760254
ZBT26.H14CORE.1.SM.B	0.7088435818352543	0.7608074448853096	0.8761728947356637	-0.016134979641103747	0.4766452118992589	0.3318767566752992	0.8318455341910442	0.4996429475457332	0.4566706102969623	0.13558953553581224	0.5939293756738482	0.41911602564409395	0.6533854846018213	0.680743113471685	-0.617823899629558	-0.2929738048284445	0.044386422003622625	0.03802409129672841	0.5950929732398185	0.5869966251964787	0.45330766838840714	0.1383717697365245	0.26478145916767504	-0.1982059738505767	0.34073298469167007	0.22343119640803333	0.24990239911061604	0.2765678884376269	0.16594446308728455	0.3312293328658595	-0.3248952058785559	-0.18610201615159652	-0.04072390268512691	0.35998933359721663	0.4497508159238724	-0.14859373456083078	0.28759833063788204	0.18150442546472118	0.2387993918298526	-0.6926204633868791	-0.7977520121871545	-1.0108711704442848	0.622073962738042	0.6119367056947401	0.6621725481064624	0.16050158040264265	-0.24594518940618676	-0.33014063752335665	-0.10339955204556615	-0.06827179697613334	-0.25419489033779596	-0.0680049703134243	0.050107722694469906	-0.10826910370315529	-0.26091714813376055	-0.21335289265770463	-0.20678208619576385	-0.460822988723318	-0.42071535086463957	-0.40087259466881475	-0.35977653154177264	-0.3810633397665935	-0.43434390939498113	0.6441750480261411	0.7118122117868805	0.7660592677458188	0.8037195053607773	0.7416127291854948	0.5695754794795982	0.7665132476586319	0.6647130661757296	0.8547056741303517	-0.6817578682245001	-0.5673784048590321	-0.5300372465372082	-0.16479993243147825	-0.29987454779892136	-0.059926139204834396	-0.2595305100156494	-0.3408476986084618	-0.43968954675965954	-0.023086683410230274	0.043963290676011645	-0.08912412382738731	-0.042742587203229154	-0.03862307136762375	-0.25999847290843114	0.7870763470833585	0.7578193854317925	0.7637601321539722	0.32098829138593193	0.3883247641563745	0.5118109434770883	-0.9256176047830184	-0.718716456647193	-0.6881035978321682	-0.43725762623853165	-0.06666840414936742	-0.19733424047691728	0.44583701138308535	0.6006714903929102	0.5971166720668218	-0.1751417910255905	0.08520198455263109	-0.13075915744289612	0.3830513189646212	0.5751039850343111	0.802847267334524	-1.016129544935318	-1.0410871385881633	-1.0610045920699274	-1.094948379346603	-0.9885472092042268	-0.9149253237992137	-1.0837017360803305	-0.7121277236570319	-1.0121713953436233	-0.03993423956456247	0.23127979823513964	-0.1512862983936926
