	CDX01	CDX01.1	CDX01.2	CDX02	CDX02.1	CDX02.2	CDX03	CDX03.1	CDX03.2	CDX03.3	CDX03P	CDX03P.1	CDX03P.2	CDX03P.3	CDX04	CDX04.1	CDX04.2	CDX04.3	CDX07	CDX07.1	CDX07.2	CDX08	CDX08.1	CDX08.2	CDX08P	CDX08P.1	CDX08P.2	CDX09	CDX09.1	CDX09.2	CDX10	CDX10.1	CDX10.2	CDX12	CDX12.1	CDX12.2	CDX13	CDX13.1	CDX13.2	CDX14P	CDX14P.1	CDX14P.2	CDX15P	CDX15P.1	CDX15P.2	CDX15PP	CDX15PP.1	CDX15PP.2	CDX17	CDX17.1	CDX17.2	CDX17P	CDX17P.1	CDX17P.2	CDX17P.3	CDX17P.4	CDX17P.5	CDX18	CDX18.1	CDX18.2	CDX18P	CDX18P.1	CDX18P.2	CDX20	CDX20.1	CDX20.2	CDX20P	CDX20P.1	CDX20P.2	CDX22P	CDX22P.1	CDX22P.2	CDX25	CDX25.1	CDX25.2	CDX26	CDX26.1	CDX26.2	CDX29	CDX29.1	CDX29.2	CDX30P	CDX30P.1	CDX30P.2	CDX32P	CDX32P.1	CDX32P.2	CDX33	CDX33.1	CDX33.2	CDX34	CDX34.1	CDX34.2	CDX35	CDX35.1	CDX35.2	CDX38	CDX38.1	CDX38.2	CDX39P	CDX39P.1	CDX39P.2	CDX40	CDX40.1	CDX40.2	CDX41P	CDX41P.1	CDX41P.2	CDX42	CDX42.1	CDX42.2	CDX42P	CDX42P.1	CDX42P.2	CDX45	CDX45.1	CDX45.2	CDX46	CDX46.1	CDX46.2
NKX23.H14CORE.0.SM.B	0.003282088939427827	0.0035882245206375306	0.004626683107969456	0.004965056276852516	0.003265010838535587	0.002050650840112452	0.00384579144050975	0.0014750661103204378	0.003845938585516939	0.005534683904469167	0.003619377307535678	0.004424991104833221	0.003645771830496886	0.003228792996558624	0.003328648480364288	0.008298427257234148	0.004272023429226328	0.003060285436579896	0.004531855416088561	0.003389835300252541	0.004604166688334743	-0.004981390644701899	-0.003777729786357543	-0.005850980949033653	-0.0031086404496721504	-0.003034951853429008	-0.0032868974737967245	-0.005504237031989517	-0.003922258269917862	-0.0032386971485951154	-0.0023363199589923824	0.0002920902377345758	-0.0008994178549535597	-0.0015803745612503453	0.00043322998556652117	0.00043002589378590976	-0.007360633632742127	-0.0059361121518092304	-0.007661807115395883	-0.004568318669876487	-0.005178189384852195	-0.002978006584966065	-0.0017605185831190196	-0.0022777097068088993	-0.0021095526228361284	-0.002616933875248279	-0.0014229714802042892	-0.0011228303718320463	-0.00011606097141888971	0.00020646419910639457	-0.00039154414292437114	0.0023834039369418796	0.0036649683727317138	0.00237029611947593	0.002806874439681308	0.001642186581964545	0.0020860515846476465	-0.0003766085343942717	-3.687318902781942e-05	5.4141852279154595e-05	0.00031622457245293747	-9.768741229714201e-05	0.0001453414186171365	0.003757988894533584	0.0029301763578049498	0.003907676459898896	0.0032972550891825483	0.0030221501160837246	0.0029920971304362846	-0.0022855043514758604	-0.0015142365426095905	-0.0033088029086839363	-0.0031835251361030624	-0.0031716023011387575	-0.002479854051231303	-0.0002938840980150066	-0.0005150926779535301	-0.00046787769565223775	-0.004455532417458302	-0.004177083777178621	-0.005921535501970485	-0.0009587864442111562	-0.002711346535523824	-0.0027999951989562833	-0.002242197846862086	-0.0012413582931512298	-0.00212661437785545	-0.003197770259244943	-0.0015101708266669085	-0.0021076798488227446	0.003061473010725246	0.002188335770185065	0.0006509973878185056	-0.0036970874589028137	-0.002840254939250877	-0.0033742405509473166	0.0001273797011323025	0.0004979568958431771	0.0003900675452468931	-0.0016596999457580443	-0.001458073927700518	-0.0018072242988145368	0.0015722727067373076	0.001935283777167599	0.0014445051368559359	-0.0013045467095403624	-0.0028692543797120707	-0.0024280969917376805	0.005287209337166118	0.00493421328172612	0.0054194482731890585	0.0050442723795433445	0.004178762636487367	0.003640400220843306	-0.004446339347261657	-0.0029450669133778955	-0.004308519012637855	-0.0020190058216786873	-0.002773380183655482	-0.003733254172309887
CUX2.H14CORE.2.S.C	0.006057370549633357	0.005147997596349418	0.005859073736348941	-0.001877294310496179	-0.0011792107632076975	-0.0008085374761024715	0.007041799077378857	0.005315211163668411	0.006193151785655199	0.004710781999818648	0.00544467666697814	0.006116410004173927	0.005236169507531019	0.003810011944649639	0.001905331453927676	0.002306665314990691	0.002285312743055245	0.001810226419815678	-0.00046106901470660246	-0.00010932631300789069	-0.0007875973267443802	0.0007816173147614349	0.00035112569445598315	0.0009739817952793762	0.0034755782530163505	0.004132801903866323	0.003527303991441799	-0.003834825430122118	-0.004191351873488757	-0.0036786931110082337	-0.005531672577070235	-0.007886472731979448	-0.010144520432362733	0.002023680802266941	0.0010919418477445117	0.0022258519242220848	0.0007089599604747159	8.282131288401805e-05	-0.0004790360414322745	-0.004752404892808596	-0.003728807800543392	-0.004956351872661764	-0.0026492254104742608	-0.0018149494660090804	-0.00279241247897857	-0.0018880503015800203	-0.0010597907108897998	-0.00142476985844076	0.005051692927401289	0.0061624357400302	0.005443780156021972	0.006075197867481526	0.006384898640309374	0.009068327890703736	0.009434713419876025	0.00879562303018346	0.009007985824580261	-0.0016441980799295874	-0.0010414905168511107	-0.0013380609537918977	-0.001930038200385949	-0.0017370780106867527	-0.0012382329073653748	-0.00022104245003584216	1.3417267736087976e-05	-0.00029793133542835076	-0.0015793904698634537	-0.0006838273286935185	-0.000515120254389799	-0.002669139344076777	-0.0028034421454702875	-0.003659614965421549	0.003367243058846573	0.002107964194365081	0.003846087105118692	-0.0023581158807727226	-0.002022107011719958	-0.0017418763062231487	-0.0006761777296682161	0.0003596491585015825	0.0011998913935931325	0.00847438545672568	0.006358837067455901	0.007914243272249608	-0.0035168259662789678	-0.0039025871501756977	-0.004478250194784258	-0.0022549420342502457	-0.0011960944720507765	-0.0011994661319378597	-0.0035019867982599394	-0.00317242214663965	-0.003526684684712715	-0.0013727534050068163	-0.001553534776839517	-0.0004241287760511339	0.003443868402067152	0.0030866497082336504	0.002833472118000589	-0.00033758730993532163	-0.0006164848485540351	-0.0007581818322231247	0.002061869445594798	0.002820941492159719	0.0019738894126422215	0.0015289317293375585	0.0008312713156932052	0.002185652620106411	0.0015824972230770761	0.0015459611895242674	0.0013608914846844032	0.002071640510416468	0.0020359504966446056	0.0014795404042758015	-0.004726398729372382	-0.003726492670274247	-0.003789096816133769	-0.0015540134553954346	-0.001796919858428742	-0.0014380314972143474
ZN665.H14CORE.0.PSG.A	0.0011949175142367322	0.0013064961225639352	0.002478098392715722	0.0010885706313793072	0.00024573579038305183	7.448152736272556e-05	0.0007137651538731681	0.0001819443768743533	0.0014208748105268459	0.001491477615483586	0.0005771666424636153	0.0010509203542165303	6.734973004400643e-05	-0.0006273922671320483	0.002141414633640452	0.004281703048841094	0.0018349666298933282	0.0011984654844895235	-0.0019225791925801688	-0.0015144227039953003	-0.0016712741282393162	0.002368496091499012	0.0017836866114001083	0.0020323598443646	0.0024558515003925375	0.002362941551927776	0.0025375257689870313	0.0010393704843023933	0.0021351346124505077	0.002214762074416663	0.0002213300565494246	0.0007814899078343029	0.00029906135584245467	-0.0026447986100049618	0.0013214133803454698	1.312184735797585e-05	0.004627366656164651	0.004760115449452301	0.0050203196008860055	0.0005482917534688662	0.0007780892465763223	0.00023583907217609616	0.0013118011692617433	0.0012856104578501887	0.001565790022745914	0.0008168453720529237	0.0007553247738303718	0.00041659531535196255	0.0013618705333236216	0.002352025282644945	0.0024720212191904054	0.004217843804345475	0.004270129830018461	0.003254046272718084	0.002290592188111071	0.0020223833750354753	0.002425953871040036	0.00020510341336522287	0.00042270894402787724	0.00019254714269954925	-7.679834925464706e-05	-0.00012639343241889364	8.421846768485257e-05	-0.0007513996458656241	-8.164053372028586e-05	-0.0009253844069567389	-0.0009959344753826664	-0.000744893818641213	-0.0006009881095150805	-0.00016706340420957543	1.9612022911486017e-05	-0.000600127149692678	0.00044701953855809726	0.0006230881147951981	0.0010059943615989824	-0.002349179667848076	-0.002135411640273477	-0.002486916870195934	-0.0008355606751599445	-0.00036257248569809684	-0.00034411348578226544	-0.0016073477987325424	-0.0013501424952689213	-0.001883458401850546	-0.0013568772527686394	-0.0011621029621202005	-0.0013949774241270934	0.0011971849324823563	0.0008534372013557397	0.0010688872121105836	-0.0038379050198092137	-0.00364660211251365	-0.004573530729618152	-0.0014815191929598765	-0.001139135274313569	-0.0020959811802980124	0.0009589693394672459	0.0012998060008256767	0.0008191099036852078	-0.0002618497098811814	-0.0003715118940120293	-0.00015322780008996648	-0.0008638474112544417	-0.0015675413481471682	-0.001060568446344497	-0.0032749602073640317	-0.0027198801001968123	-0.004864600252898076	-0.0011547058436233622	-0.0011118030599257243	-0.0012909182970620946	-0.0011885415013983584	-0.0012278103520170628	-0.0013230773441102576	-0.0013848831933235522	-0.0009400433051021398	-0.000934339446061999	0.000469110051066862	-4.434578015132494e-06	0.0005194062048796978
ZN213.H14CORE.0.P.C	-0.0038029594617332444	-0.004586452536565737	-0.004513914201852493	0.00024125146998393962	-0.0007775516042272052	5.551639518524819e-05	0.0007218175518072158	0.0006233157839573871	-2.0540802247957942e-05	0.0028096207811308506	-0.0032349366388011143	-0.004406317329798489	-0.003974487009316852	-0.001939203160897343	7.96666933866718e-05	-0.0032895527147039283	-0.0030305312492255256	-0.0033162856911089105	-0.0018071234882217255	-0.003064317777252235	-0.003312100482424175	0.002334956536554159	0.002269971960152556	0.0006953498466486933	0.0023796682095713648	0.002107207225363991	0.002801457284772901	-0.0031276034853519852	-0.0032304680420268653	-0.0029809182142619753	-0.0019440308036237021	-0.0028276422741150367	-0.0035833497465230296	0.00047599485938802546	-0.00020925851469803504	0.0011453222191678803	-0.008674866614030515	-0.00873817434493558	-0.008928419988089563	-0.0030601003004012274	-0.003825659138894412	-0.001943298789421931	-0.0019779715393826234	-0.001317121671827578	-0.0013963033911879622	-0.00267489343097062	-9.635445944934728e-05	4.7505648388201894e-05	0.0030500801232582154	0.007229378423803841	0.006112705547250175	0.00850902230129965	0.009742421492846829	0.007478765090302947	0.006571361889317971	0.006896361228294317	0.007323573167088176	0.00235278571987799	0.0009296519333636681	0.001028642379282805	0.00018149135297690775	0.00011412413297552639	0.0007570081714923343	-0.004956707378152597	-0.004074865986885343	-0.004081930042066214	-0.0035571969287721155	-0.003078510945693712	-0.0029475438252489577	0.0017514351808553229	0.0019054375057704688	0.0017959826617707112	0.004396631245564797	0.005546364055691712	0.005155312973719725	-0.0003868365867554694	0.0002465270739326818	-0.0003178864407018297	0.0025158372994221064	0.004624818910447227	0.003971924109808791	0.006275971481667421	0.0021851293060587947	0.003724335787416894	-0.0027652228331973092	-0.0026477713472546557	-0.004132205489065918	-0.003824819507375935	-0.005109682600156291	-0.0055419323005406265	0.003201880919543845	0.003190143700130609	0.0025901251599374873	-0.0019179148078462363	-0.003303199961810665	-0.0027155446838634722	0.0042839538616795975	0.0032718411371291433	0.004075565179091889	-8.773457964763882e-05	-6.52248905216752e-05	-0.0006343519004958824	-0.0003081323735899892	-0.0006802506623546731	-0.00010777190416395887	-0.00019486607577115901	-0.00323866828909286	-0.0014805011031060991	0.004440975239365279	0.0046009708843617655	0.004693942151431779	0.0032275963501761126	0.002939778242480128	0.003201311145368538	0.0009618391688893933	0.0011229020515999039	0.0019966556525694863	0.00034992987918053536	0.000236114498235487	0.00016332876503301482
HINFP.H14CORE.0.P.B	0.0005880929719006392	0.0004947494892022602	0.0006247084970231587	0.00030674934581505957	0.0008666459418999932	0.00035693218850688406	0.001142032871685997	0.0007254065859552271	0.0004169032961479015	0.0010493056313855221	0.0008707363430930876	0.0006440160727681465	0.0006448687659870052	0.000543135569819209	-0.0006139828157873281	-0.0009260717969695431	-0.0006239765652590599	-0.00047570788043814125	0.0003853080935286484	-2.48246516621161e-05	8.055334733645612e-05	0.0005969077710985351	0.0007060495107451937	0.000287783494770651	0.0006514839452177651	0.0003589700591200348	0.000780580966030486	-0.00020659839901137253	-0.0005009867882561472	-0.00038616712924821286	-0.00023093388126850775	-0.00028491631828478435	-0.0001953663087186591	0.0008671360166287139	0.0002790857735178003	-0.0002309551805520936	0.00050959027431917	6.949220514505764e-05	0.0004473123364891763	-8.15111156305524e-05	-0.0005586593132233697	-0.0002458758535917707	-0.0004696326702551788	-0.0004601994959131677	-0.00023735587548473513	-0.0005606425111694003	-0.00047020318071814546	-0.00023167648066936019	0.0006671011246632787	6.892746367507974e-05	0.0003393918459802203	0.001142094664224441	0.0017398311112323886	0.0004833495661742495	-0.00045859814903127566	0.0002840611506821582	-0.0004259415643500295	0.00020343891454230125	-5.2036109744694683e-05	-1.5171549158557056e-05	0.00026979562752129694	0.0001513327898224694	0.00025384388825798156	-0.0005039875250295242	-0.0006445110339768013	-0.0003986828557451396	-3.035486847571259e-05	-1.0433611018962399e-05	-5.334213846830902e-06	-3.97699433896999e-05	-0.0003954000670537929	-4.3683985209936584e-05	-0.0006323939375808946	-0.0006332336390679065	-0.00040685574883806227	-0.00044789628581575305	-0.00038965763193836883	-0.0003183795328017537	-0.00046450192889904484	-0.0005306490428275359	-0.0012769128416441793	-0.0008625535365979211	-0.0011220567097284851	-0.0013804731876312425	-0.00012215401475835895	-4.5263135946792604e-05	-0.0005451965581688661	0.0008253700313714452	0.0011737293907678023	0.0006693005014687352	0.0009723543652812678	0.000810133869318203	0.0005460184655495836	-0.0008945221062088283	-0.0007091721217945825	-0.0009231903634399258	0.0001089663464073763	0.0003634234156363601	0.00025780635412191665	2.20968421802917e-05	0.00013622117183387009	-2.8277169018631573e-05	-0.00031547660783829936	-5.753941875821472e-05	4.053729862980199e-05	0.0010446725640362916	0.0008392968784927549	0.001591065444924801	-0.00039472919442497056	-8.307961095215564e-05	-0.00026725760444671335	-0.0005740005311225369	-0.0002894987538653958	-0.00026317222310105683	8.044626521714223e-05	-9.838320113392138e-05	-5.143139620630812e-05	0.0003192558066574845	0.00033789213959881895	0.00010695052169858827
ZN133.H14CORE.0.P.B	0.0008248955994635436	0.0007697861084740433	0.0012786628923845882	0.0002052910711251319	0.000847432243121302	0.0006424990475782804	-9.531955922269681e-05	3.612850225410776e-05	-0.0003931852462838345	-0.0009568401082406239	-0.0005371058261458524	-0.00037093791855951025	-0.00037624847002680104	-0.0005385649300050511	-0.0005858512415480357	-0.0011889184294983702	-2.836156736422328e-05	-9.110949581332567e-05	6.835378115580421e-05	0.00023457740050280732	0.0003101990869573145	-0.0006338893902846827	-0.0007566905006864361	-0.0008720514574322831	-0.0002477406401867996	-0.00039359654679532827	-0.0003506592765900883	0.0004551041578891202	0.00027761659383561193	0.0004300486114318516	0.0001950305399247003	0.00039216849037695283	0.0007437901007761807	-0.00041401115491466946	-2.4679395997313234e-05	-2.435761556541463e-05	-0.0018137448536869778	-0.002060282794696703	-0.0019442672121923728	-0.0010280229104024695	-0.0012525965264431037	-0.001014169662245965	0.00041037371142996486	0.00032736818580442477	0.00037221180293060043	0.0001371119137015415	-4.0020025675011806e-06	2.2625728680676177e-05	-0.00028201543542261657	0.0002737924090936259	-8.134480494708674e-05	-0.0007314559983448557	-0.0008704809543268345	-0.0002852175343822427	-0.00018533024998536294	-0.00018442665016583514	-0.0001666462405115678	0.0001920354053498446	7.567313233359771e-05	6.784161140763622e-05	0.0002322024826578216	0.00015932162582768988	0.00019136905247900095	0.00044376777304616947	0.00039236590491820964	0.0006214344781272297	0.000543156406883243	0.0005013607611682915	0.0005178907739442325	0.0001374556996039984	8.41785948867269e-05	0.00011765638875026993	0.00016244327071248546	0.00016879524773352048	0.00027264097441146286	0.0003455844754791648	0.00021083672643464093	0.00036287833962281085	-0.0009205636674227563	-0.0011994103314481714	-0.0018057800861910746	-0.00047846970090523514	-0.0003066562653149436	-0.0004671049152660698	0.0003617664331465645	0.00041768864920685835	0.00027893335261769273	0.0005769570767591639	0.0004522790663012579	0.00042779770842240846	-0.0007594699925329116	-0.0007742575631054574	-0.00045014864446046203	-0.0007256924022834253	-0.0004589182367284198	-0.0006195634859663937	-0.0002303917002235848	9.222796676714156e-06	-0.00010923854525510647	6.663101102733553e-05	0.00012235811516787245	3.5285301324642374e-06	-0.00018089988498220337	6.017996002811516e-05	-0.0001360314509110368	-0.000685115303490561	-0.00027919402417979816	-0.0002585376139921092	9.082321244607573e-05	0.00013728360137213214	0.000183311174744178	2.0522945850987693e-05	9.9315687687083e-05	-4.152215764948487e-06	0.00010186133635566989	-3.350456550565796e-05	6.290727867103629e-05	4.9936355958914394e-05	2.50185826695009e-05	-7.619145912930435e-05
IRF9.H14CORE.0.PSM.A	0.011039453459738875	0.012529128649659736	0.009646747860489262	-0.00620284509125925	-0.011364367574382968	-0.012085504810050775	0.005529042145727025	0.008179365575989238	0.006017115553925272	0.009008166871969411	-0.002559675038080466	0.0027415729416127854	0.0012137543662827269	-0.0005549610846415665	-0.01164429960298396	-0.0005982847069404291	-0.006207294886421364	-0.001952682961115967	0.006783196178145766	0.010465429894592612	0.015072737226365818	-0.011277621364382784	-0.014727309160793012	-0.009654276650671891	-0.013097337833196082	-0.012905418551654045	-0.009307974718471905	0.016801118979460256	0.01128327853316728	0.007538178978249765	0.007614168256640141	0.01658255005883398	0.01828551214416855	0.002364863032106282	0.004912773275876499	-0.011076911044818092	0.020993495463035576	0.03815301943731983	0.02219044004120123	-0.0053657867750303645	-0.005644108493314538	-0.009808662792119309	0.007154161134310081	0.009600912864699846	0.009939425897679686	0.008637859242488121	0.0025106638628260834	0.0026976004344556647	0.006556470108943724	-0.01757832090810106	-0.011394427504236719	0.0037884054159890374	0.006892333087949382	-0.014843510111339565	-0.01543260038749161	-0.015777540221125718	-0.015716620848574406	-0.005102506143657377	-0.0029626111997485827	-0.0024133996382439717	-0.005014448721218114	-0.0032638384143998883	-0.0030917421879042345	-0.007232863050050597	-0.005978842024981572	-0.009539938796277944	-0.002496121837799528	-0.0020870989549068232	-0.0051514886518508295	0.03041212355891563	0.028830854062101608	0.034664799102919495	-0.011024546815160095	-0.011468005138430333	-0.01108110196168114	0.005325280435050751	0.006471406145339035	0.004383788394740608	-0.019087241112851528	-0.02040193669117117	-0.018715599425384057	-0.020355935454227744	-0.018287263174659174	-0.01882162356554212	0.0045435141521365146	0.0026799068837697155	0.004464354216187296	0.00891452536015961	0.010370432542324797	0.014987565231033123	0.007959633008054828	0.008681114938243228	0.007781262036399461	-0.01379642169276724	-0.0169104710308096	-0.012598374628475965	-0.005926644911937347	-0.0015167762009357568	-0.004691057864129848	0.004185151210684153	0.006577506280874224	0.00559763445161615	-0.0014025839234569097	0.001401074744893084	-0.005889307883109729	0.01870242482865524	0.01651280225607672	0.016343669180568655	0.015324675468633484	0.014100760796884167	0.014728709040128752	0.01487053700278217	0.015023276293663254	0.01475592241762881	-0.011409958472242323	-0.007716126409721705	-0.012438595452732187	0.0007061164138561898	0.0021498027058926396	0.0031328398287713997
Z354A.H14CORE.0.P.B	0.007176926660661305	0.0075506926331357326	0.008264274232506752	-0.0033781991065354507	0.002370772829962041	0.0011138505257298373	0.005212262885546636	0.0037084502395867127	0.0034501327986223873	-0.003834380491349111	0.002066853109193467	0.004007374975488585	0.003824169763848779	0.0019263387269546233	-0.0015471070497219213	-0.0028474876266072523	0.006642452490816098	0.0050783783270728884	0.0041413342326068765	0.004496316353919387	0.0062865349211207585	-0.008205004074718653	-0.006903473384775531	-0.00788692243721081	-0.004092179669525923	-0.004768972914794788	-0.005119346208580027	-0.006115487971433721	-0.003415209455071671	-0.0026475393062313805	0.0007992590302562935	-0.0006251450292766593	0.00190046217960448	-0.006318912865140766	-0.003492608396567838	0.00036074031706174645	0.0076814494971615644	0.009208940043031005	0.00793959762426099	-0.0029407605274425655	-0.005894630291988816	-0.006536222360720798	0.0022119969253295026	0.001462955177852836	0.0016855508473605045	0.00029473338456943867	-0.00014579704273646516	-0.00031507333039460493	0.0008959861003951771	0.008997701039962697	0.0041359548765490615	0.006773845023827269	0.00758360091503095	0.006952624897382081	0.0005248744153966336	0.0028089629683363177	0.0032259456393908814	0.0039411439096459135	0.0016208361688430971	0.0026368229323299928	0.0031124609589050496	0.0020164298199172935	0.0024119549263770445	0.0006593042420292465	0.0007172980207634	0.0017811087862197406	-0.00026226796318686994	-0.0005658798019856717	-0.0007476471348696842	-0.0002149794724670708	-0.0011712237162135237	-0.00019488375132211712	0.004076920130840003	0.0034065473824895355	0.005810997358501734	0.0057789658601804465	0.0037210599108137934	0.005973401188985403	-0.004917960708961315	-0.006520801574637378	-0.00983032918404366	0.0025995734667108947	0.0026133391059285096	0.0008887674115445206	0.004168496854116679	0.0037839630342678962	0.0019081433280164718	-0.0032914829711035223	-0.004382081190679305	-0.004517409556206675	-0.003380294157944682	-0.004627777631444076	-0.001135299263333088	-0.010426607155335613	-0.006691155547294283	-0.009029266003802262	-0.003355721751898004	0.000936419894813894	-0.002257660455277792	-0.000859850741407951	-0.00021299141842074146	-0.0010850584635498644	-0.0034421313486632877	-0.003102861069463351	-0.0025630408141109843	-0.003384689070247252	-0.00012101444157765347	0.0007065413890512093	-0.0015091621541231065	-0.0006962030034704822	5.8535120349736654e-05	-0.0005862459619837466	0.0005361800899923511	0.0006234729515175594	-0.00462772555798353	-0.006462198736545935	-0.005060368641307516	-0.005882767541294582	-0.004831064656797094	-0.006812369677375346
ZSC31.H14CORE.0.P.C	0.0022822236694777123	0.0029517125642722023	0.0030639994750072063	-0.0010972548454160954	-0.002659419409354019	-0.0018049478185325053	-0.0019483115884411718	-0.0004376735688973791	-0.0018451061999821723	-0.00045636353405088386	-0.0018344653705072613	-0.002141895201527915	-0.0014793255968626694	-0.0019013324086208615	-0.00023362059413622492	0.0008974446253518021	-0.0009325900632653458	-0.0004540613728047997	-0.0007876559976146847	-0.0005889866949799335	-0.0012895006503763973	-0.001224243032654183	-0.0006879687896036285	-0.001419227440962081	-0.001264130777740474	-0.0006672052419948385	-0.0010432533948292536	0.0019190272410304103	0.0002543667291579877	-0.00044333191982563454	0.0002780785197392573	0.0013693655668800568	0.0010752913375142524	0.004712231974554128	0.0008516830606516484	0.00029498402465058076	0.0010210009132299942	0.001070462973317006	0.0015339872179399058	-0.0023026404354659948	-0.0013323297680788828	-0.001098673828173519	0.0013678637291705971	0.0015161477939379117	0.002079467478772531	0.001659615589293784	0.00031843588407258505	0.00025473698728909616	0.0007581033546453752	-0.0016924641410687507	0.00011910168294523351	-0.0005889112276625427	-0.0006149759990627047	-0.000590187381733486	0.00023288978545121575	1.2092167771923773e-05	-0.00023342262313531286	-0.00034623786095940083	1.828946811988235e-05	-2.5760698426499717e-05	-0.0006050910895570974	-0.0004260008170939674	-0.0005195371888729304	-3.923205894600647e-05	-0.0009131957390147461	-0.0009273924685166736	0.00015460024857669156	0.00039096088887684657	-2.306042158812325e-05	0.003776386762454557	0.0037597501333164352	0.0042117650596510915	-0.0007343386120005445	-0.0011424640967248744	-0.001141579138439112	-0.0029215385816885008	-0.002785901096934871	-0.002868901710630118	-0.0011406929302219021	-0.0006240583131713073	-0.00026172632819483453	-0.0013464875785421948	-0.0013100580866071733	-0.0013145033694260879	0.0011075473518757566	0.0011010961110827758	0.0019092691318316642	0.0024847537342084147	0.003497881199828345	0.004222707276893619	0.0023447464985622344	0.0027259769888332407	0.00229583787606794	-0.0018554800385228367	-0.0021359118805491855	-0.002114206088898212	-0.0010177360878844551	-0.0011797195451198007	-0.0011590089732312371	0.0007384050609415136	0.0008033953498046766	0.0010017707647540866	-0.0010450072681052556	-0.0009410470946482717	-0.0009108541533011414	-0.0008642435909655523	-0.00029515202727821985	-0.0006489658808854782	0.0013512841346886306	0.0010203118822749446	0.0008501419164882682	0.0003587004592224058	0.0003299420415246336	-0.00035671692977377	0.0009271008973408929	0.001293331719521455	0.0010409757134818105	0.0005239127656717902	0.0007954704708738878	0.001142438543220681
ZBT26.H14CORE.1.SM.B	0.002874958356668411	0.003097809380443343	0.0038223489634144027	-4.875027733086561e-05	0.0015892610569226042	0.0009444378885313	0.003397998633472691	0.001844593296453259	0.0018246944768031306	0.000682511865817578	0.002448164009543472	0.0017727673552200677	0.0026630393037335204	0.0026079927658162363	-0.0017968555963342946	-0.0013193215415361695	0.00014416935875893536	0.00010778840331007932	0.0017464695659528237	0.0016182313995840724	0.001381119961873421	0.0005698744977091189	0.0010974511489548866	-0.0008651768722456791	0.0013433526848126503	0.00085193042866245	0.0009761507571430094	0.0010926080732674272	0.0006308504654470448	0.0012572517742654038	-0.0011561646566934645	-0.0006561879605775682	-0.00016687851419768923	0.0013838471101946957	0.0014452634108042639	-0.0002955099914799928	0.001820784899494069	0.0012027389781196268	0.0015250618273327248	-0.0024947145828480505	-0.0028412543137450075	-0.003178392397660583	0.001761506924715697	0.0018962177409096008	0.002013332914008711	0.0004842458818131144	-0.0006212323786201983	-0.0008035734567786387	-0.0003647780958484029	-0.0002904219203690941	-0.0010103834257232241	-0.0003140507605192801	0.0002539690532900333	-0.00048150870805111883	-0.0012500725028936953	-0.0009545872476966994	-0.000969090743550242	-0.0010717673367489822	-0.0008727967707157654	-0.0008189170793027558	-0.0008135324869118107	-0.0007695700704774085	-0.0008703660271502715	0.001972323598730612	0.002123378448821341	0.002439594864126677	0.0023932412454360156	0.002122062878955476	0.0016088336038688827	0.0031563713139445893	0.002732658102041528	0.0037772993119432373	-0.0025907145809024187	-0.0022747387030629495	-0.0021272613874853898	-0.0005725772931454405	-0.0010034896212626745	-0.00020462998551768906	-0.001115628721837863	-0.001489225431557486	-0.0022163674830126454	-9.521024184977051e-05	0.0001752741149752435	-0.0003755625255523522	-0.0001435788609988475	-0.00012000437327284815	-0.0010154850303813363	0.0029186300934052564	0.002840379694579452	0.0028102971898096617	0.001219938610905446	0.0014774126419071156	0.0019532919483247063	-0.003155874939770531	-0.002267735612691619	-0.0023356742854705476	-0.0014102421532529532	-0.00021403640462078067	-0.0006316054487952797	0.001048410046057828	0.0014702825931918553	0.0014206110890338751	-0.0005108521963381903	0.00026407631907122297	-0.00035920106295343746	0.001594677029758503	0.0022505191588544473	0.0031324565917660667	-0.0036627393030863164	-0.0034110464997922996	-0.003649070152920842	-0.003569527932537812	-0.0030839868958124337	-0.0028302020715278136	-0.0030261567082194556	-0.0017993499979424763	-0.002720105716234431	-0.0001311988614267318	0.0007565719466177422	-0.0005681793909528444
