	mean	std
NKX23.H14CORE.0.SM.B	-0.004570702058303972	0.0009191646220821185
PURB.H14CORE.0.B.B	0.0018137120246072228	0.0006884594564470475
CUX2.H14CORE.2.S.C	-0.00878294971333685	0.0008576518630673594
ZN665.H14CORE.0.PSG.A	0.019484987084866824	0.0006699618644473866
ZN646.H14CORE.0.PSG.A	-0.012218540595745005	0.0009296189610772004
ZFP28.H14CORE.0.P.B	0.001937847450953047	0.00090734923572526
ZN213.H14CORE.0.P.C	0.002911244695147295	0.000776250106503053
HINFP.H14CORE.0.P.B	0.013605602868484609	0.0006603265456930648
ZN282.H14CORE.0.P.B	-0.00433344955768932	0.0007543252035401416
ZN133.H14CORE.0.P.B	-0.02408714660666488	0.0007314920181125035
IRF9.H14CORE.0.PSM.A	-0.016798183310130776	0.0013999550825061133
Z354A.H14CORE.0.P.B	0.021985134978556614	0.0010267213282965553
ZSC31.H14CORE.0.P.C	-0.005988569073888603	0.000688280295031994
ZBT26.H14CORE.1.SM.B	0.009205317441858693	0.0008679229502072962
PRD15.H14CORE.0.P.B	-0.011837030236381024	0.0006068087885485327
ELYS.H14CORE.0.B.B	0.010111849297253693	0.001464632393061996
ZN322.H14CORE.0.P.C	-0.01097899432431279	0.0008264433674642159
ZFP90.H14CORE.0.P.C	-0.0007497211973511184	0.0006411043680981814
ZN304.H14CORE.0.P.C	-0.007784743426258567	0.0006659910841734167
ZN689.H14CORE.0.PSG.A	-0.004700383646867661	0.0006690102274392957
SALL3.H14CORE.0.PSG.A	-0.0040803125322543335	0.0010361164787483289
ONEC2.H14CORE.3.P.B	-0.00119438576664109	0.0010142756621333501
ZN660.H14CORE.0.SM.B	-0.005522083388867553	0.0007277275823653727
ZNF92.H14CORE.0.P.B	-0.004737299730321259	0.0006214512485512536
ZN331.H14CORE.0.P.B	-0.01653254425290039	0.000773215904606627
ZN667.H14CORE.1.P.C	-0.003661340842875237	0.0006359884725469472
E2F4.H14CORE.2.S.B	0.053522250075371924	0.0007376461312235712
OSR1.H14CORE.0.SM.B	0.003358955856835424	0.0007917153875353913
ZN75D.H14CORE.1.P.B	0.0197852118621816	0.0006820647260216399
PAX8.H14CORE.0.PSM.A	-0.006543732764296577	0.0006007725465552631
FOXB1.H14CORE.0.SM.B	-0.016805422530762684	0.0008675774893987086
ZN716.H14CORE.0.P.C	-0.015314863454959832	0.0008033043852378978
ZN587.H14CORE.0.P.C	-0.009178449366688499	0.0008593912830517951
ZN141.H14CORE.0.P.C	-0.004627903325701524	0.0007949085785161677
ZN681.H14CORE.0.P.C	0.006580486238335657	0.0009659263204024964
ZN205.H14CORE.0.P.C	-0.0035841776663333796	0.0006613739157313805
PRDM6.H14CORE.0.P.B	0.002597173808214767	0.0012401103536616512
SOX9.H14CORE.2.S.B	-0.029390171318688426	0.0009692319830841032
ZN165.H14CORE.0.P.C	-0.0008811179930059343	0.0006628662974727288
KAISO.H14CORE.0.P.B	0.06334907922575655	0.0008317062111674284
ZN507.H14CORE.0.I.B	0.010286666035349779	0.0007124665057526337
ZN180.H14CORE.0.P.C	-0.030632920034842956	0.0011790020719559845
REL.H14CORE.0.P.B	-0.014511198164492907	0.000812037275007145
HOMEZ.H14CORE.0.S.B	0.0015403606872357242	0.000644098063029036
NANOG.H14CORE.0.P.B	-0.001397414605490339	0.0008481897843553579
ZN479.H14CORE.0.P.C	0.01299833863790827	0.0006298137453003774
ZN483.H14CORE.0.P.C	8.59535191223889e-05	0.0007122613222452565
ZN302.H14CORE.0.P.B	-0.007891801883938284	0.0006542889233976052
ZN773.H14CORE.0.PG.A	0.006704518907446865	0.0007268428847668425
RARG.H14CORE.0.P.B	-0.03298197953027539	0.0009223279875296089
