motif	tau	std
NKX23.H14CORE.0.SM.B	0.0007243085053570548	0.0002568284631014595
PURB.H14CORE.0.B.B	8.040587406957729e-15	0.0002772797952929081
CUX2.H14CORE.2.S.C	0.0008423754734995053	0.00017668483113635262
ZN665.H14CORE.0.PSG.A	0.00031179163813186295	0.0002448237196803472
ZN646.H14CORE.0.PSG.A	7.030869853862692e-19	0.00016251923038081254
ZFP28.H14CORE.0.P.B	3.8645252945933965e-18	0.00019688789576613783
ZN213.H14CORE.0.P.C	0.0007234762970411029	0.0007971387458312639
HINFP.H14CORE.0.P.B	9.939403619355715e-05	0.00040606827684494274
ZN282.H14CORE.0.P.B	2.1745603902930857e-17	0.00018076377492519654
ZN133.H14CORE.0.P.B	9.924274167397744e-05	0.0002477802558835357
IRF9.H14CORE.0.PSM.A	0.004521333747055328	0.00013496452881971453
Z354A.H14CORE.0.P.B	0.0012395076665059292	0.0005913109465480476
ZSC31.H14CORE.0.P.C	0.0002981150150524379	0.0002848804343974082
ZBT26.H14CORE.1.SM.B	0.00043022210977931754	0.000175707821036668
PRD15.H14CORE.0.P.B	1.4540083994713103e-05	0.0003043124950450652
ELYS.H14CORE.0.B.B	0.0017112313215617498	0.00020820431407492682
ZN322.H14CORE.0.P.C	0.0010255535954510231	0.0002392052732212095
ZFP90.H14CORE.0.P.C	4.946000109749541e-19	0.00020372881762364796
ZN304.H14CORE.0.P.C	0.00026867497009697107	0.00025787041006654376
ZN689.H14CORE.0.PSG.A	1.275558655843782e-18	0.0002655022895092828
SALL3.H14CORE.0.PSG.A	0.00022602770084726494	0.00023378559889351296
ONEC2.H14CORE.3.P.B	1.0170311690160086e-16	0.0003065092443097655
ZN660.H14CORE.0.SM.B	0.00047491050956021503	0.00025646210535567573
ZNF92.H14CORE.0.P.B	5.3332665590511407e-20	0.00029602601782515977
ZN331.H14CORE.0.P.B	0.0007187219908270813	0.00015855348313127446
ZN667.H14CORE.1.P.C	6.276835421960973e-16	0.000532954676142261
E2F4.H14CORE.2.S.B	0.00040432347886287464	0.00038830637990672066
OSR1.H14CORE.0.SM.B	0.0008938125150539062	0.000275587939214472
ZN75D.H14CORE.1.P.B	2.6759947272897893e-15	0.00016974847678157985
PAX8.H14CORE.0.PSM.A	3.511402442250139e-18	0.0005393262809917702
FOXB1.H14CORE.0.SM.B	0.0003944242634619708	0.0002332824072204492
ZN716.H14CORE.0.P.C	0.00019849346436158873	0.00028103741748678444
ZN587.H14CORE.0.P.C	0.0012340801595022454	0.0001786588842096306
ZN141.H14CORE.0.P.C	0.0007790465514351567	0.0003587259755663941
ZN681.H14CORE.0.P.C	0.0003183333394743662	0.0003015877412340375
ZN205.H14CORE.0.P.C	0.00014591892372063707	0.00021556886378705964
PRDM6.H14CORE.0.P.B	0.00224323884978448	0.00023918072180142185
SOX9.H14CORE.2.S.B	0.001427270907789222	0.0002064841043387133
ZN165.H14CORE.0.P.C	1.2755944142787053e-15	0.000172742622848872
KAISO.H14CORE.0.P.B	0.00095704103217998	0.0005787752676860656
ZN507.H14CORE.0.I.B	0.0002179630075643866	0.00014808810901846032
ZN180.H14CORE.0.P.C	0.0020451068703626722	0.0003526183180767075
REL.H14CORE.0.P.B	0.0006228950148381766	0.0006252627505121941
HOMEZ.H14CORE.0.S.B	5.594769169378018e-20	0.0002810059305472974
NANOG.H14CORE.0.P.B	0.0005807925915599116	0.0002130818690425047
ZN479.H14CORE.0.P.C	3.9773124639794316e-17	0.0002563337920008498
ZN483.H14CORE.0.P.C	0.0002531866193380523	0.0002115008571044447
ZN302.H14CORE.0.P.B	2.0659978824724788e-16	0.00027288263012381885
ZN773.H14CORE.0.PG.A	5.973749269529517e-19	0.0003428532323061241
RARG.H14CORE.0.P.B	0.0015716738621100728	0.00016630740470046477
STF1.H14CORE.0.PSM.A	0.0010563721652947788	0.00028611742700544143
ZN730.H14CORE.0.P.C	0.00038865235589120585	0.00017110408990901686
CASZ1.H14CORE.0.SGI.A	0.00011199146511500629	0.0002621340722075222
MYPOP.H14CORE.0.PSGB.A	0.00036421847758777914	0.00045807278839284625
ZF69B.H14CORE.0.P.C	0.00022770204227364095	0.00034147423169015136
CGBP1.H14CORE.0.PSGIB.A	0.0020535615650229973	0.00019972173320744661
NR1I2.H14CORE.0.M.C	6.914072885705027e-05	0.00019646316893538323
ETV7.H14CORE.1.P.C	0.001381565358545329	0.0001662854831799826
ZN134.H14CORE.0.P.C	3.054674504800711e-18	0.00022011284460397005
MBD1.H14CORE.0.PSIB.A	0.0031965037077528536	0.00017787688047769094
ZN335.H14CORE.0.PSG.A	0.0009645611292255678	0.00029651405869839375
THA.H14CORE.2.S.B	1.5106390961272743e-12	0.00023800868962886866
ZN749.H14CORE.1.P.C	0.00046390930228517024	0.0002070984617665297
ZN664.H14CORE.0.P.C	8.223948113334099e-18	0.00022509125458416754
DPF1.H14CORE.0.SM.B	0.0007949113715622803	0.00016417740864864378
HSF2.H14CORE.0.PSM.A	0.0004029513209955397	0.0001444199370678967
BARX1.H14CORE.0.P.C	0.0005136424270959496	0.0003990099136491295
MYCN.H14CORE.1.M.C	0.001225838302252408	0.00018558037159566184
MEF2D.H14CORE.1.M.C	1.0783126101787983e-05	0.0003596789413415689
ZN208.H14CORE.0.SGI.A	0.0011202497316970652	0.0003488821565995844
ZN772.H14CORE.0.PG.A	8.119670160780522e-05	0.00022467568669139014
RLF.H14CORE.0.PSGI.A	0.0009543801244854705	0.0003337170847252514
TIGD7.H14CORE.0.SGIB.A	1.951357118155937e-18	0.00016392766315547107
ZN480.H14CORE.0.P.C	0.0021521485338040713	0.00016891114496722095
OLIG1.H14CORE.0.S.B	0.0012130935222472484	0.0002669183997595604
ZN766.H14CORE.1.P.B	0.0003382097540253302	0.00018941927661886429
ZN124.H14CORE.0.P.C	0.00020566009664920332	0.0002227020758581782
PRDM5.H14CORE.0.PSGI.A	1.3700953262994574e-19	0.00047069923187795503
ZN251.H14CORE.0.PSGI.A	0.00019963542182367038	0.0004172373869834586
GLI2.H14CORE.0.PSM.A	8.224290102977604e-17	0.00035047277636515207
NANOG.H14CORE.2.M.C	2.1122181450555833e-18	0.00018384027979633007
PO2F2.H14CORE.1.M.C	0.00015340539903582696	0.0004459985811744885
ZN627.H14CORE.0.P.C	0.00019769431960180834	0.00022691085464939163
ZF64B.H14CORE.1.P.B	0.0009824679646969646	0.00027517737823058426
FOXR2.H14CORE.0.M.C	9.951402399824359e-17	0.00032881483964703883
ZNF12.H14CORE.0.P.C	0.0007035577673901299	0.00025054489803347533
ZN233.H14CORE.0.PG.A	8.674275060793687e-19	0.00018100884243842124
ZN526.H14CORE.0.S.C	0.0005424222925202966	0.00017667690459059767
ZN841.H14CORE.0.PSGI.A	1.989625608263022e-18	0.00023259500914598748
ZN136.H14CORE.0.P.B	7.646879657436506e-20	0.00020277638414120284
TEAD1.H14CORE.2.S.C	0.00043545008718105327	0.00024021512140577194
FWCH1.H14CORE.0.PSGB.A	0.00020698756127377038	0.0003992329804743914
ZN273.H14CORE.0.P.C	1.4748881455638796e-16	0.00018006796069877204
ZN222.H14CORE.0.P.C	2.957956906693545e-05	0.00024785513277109555
CXXC4.H14CORE.0.PSGIB.A	0.001498074284730376	0.0004922972901731779
DACH2.H14CORE.0.S.B	1.1654875903419666e-15	0.0002095608829507801
ZBTB2.H14CORE.0.SM.B	1.5947204767800332e-15	0.0001881545533062682
ZN766.H14CORE.0.P.B	7.947127981586915e-05	0.00026566671031870843
TERF1.H14CORE.0.PSGB.A	1.2552164577988253e-20	0.00022571426791120346
TCF20.H14CORE.0.B.B	0.0003991127592952398	0.00016782002542669268
ZSC25.H14CORE.0.PSG.A	0.0011579491659043093	0.00034609910384384487
GRHL1.H14CORE.1.PS.A	0.0004323541670388763	0.00021638346219449408
TIGD4.H14CORE.0.SGI.A	7.92325522091843e-18	0.00031846781821059277
ZNF81.H14CORE.0.P.C	2.460264347746138e-18	0.00027550296351759325
ZNF26.H14CORE.0.P.B	0.0009851414582161425	0.00025248756360776487
ZN394.H14CORE.0.P.C	5.998960312706795e-18	0.00015619057542393946
Z587B.H14CORE.0.SG.A	0.00013616273825102306	0.0003082254987004496
BCL6.H14CORE.0.PSM.A	0.00017521966691083158	0.00019978738200131208
ZN567.H14CORE.0.P.C	0.0003866459311115849	0.00019121486023389905
SUH.H14CORE.0.P.B	0.00037198661182405	0.00025168819392830264
SP100.H14CORE.0.PSGI.A	0.0005557222703433751	0.00024406388898489236
FOXK1.H14CORE.0.PS.A	0.002032382599101491	0.00013848544996512678
ZN749.H14CORE.0.P.C	0.0017073000840850381	0.0001465546412261542
ZFX.H14CORE.0.P.B	0.0013559988299018891	0.00023269384946293794
SRF.H14CORE.0.PSM.A	0.00019752573987964962	0.0001447262546570007
Z280A.H14CORE.0.P.B	6.524959172811322e-19	0.00028740803871239447
ZN778.H14CORE.0.P.C	0.0021790813826929236	0.0002156915211071846
SPI1.H14CORE.0.P.B	0.0004695792442755145	0.00031674759075771286
PO3F2.H14CORE.0.P.B	0.00048437978803946203	0.00016420629047635629
SRBP2.H14CORE.1.P.B	1.5098846272612298e-19	0.0002314156908860058
Z705G.H14CORE.0.P.C	0.0010000338726228876	0.0002650065406526937
ZN649.H14CORE.0.P.C	0.0005787531773543728	0.0001749266561443581
GRHL2.H14CORE.0.P.B	0.00027987703863698406	0.0002495187429494422
ZN528.H14CORE.0.P.B	2.906013675573033e-17	0.00017478817188832163
PRDM9.H14CORE.0.P.B	0.00022371001868823007	0.00017580612071535184
ZN433.H14CORE.0.P.C	7.880893257440293e-19	0.0002101171011657599
ZN283.H14CORE.0.P.C	0.000502024861327105	0.0001634744728692572
ZKSC1.H14CORE.0.P.B	0.00045581314534896556	0.00024495539196078326
HNF1A.H14CORE.0.PS.A	5.675563730638668e-17	0.0002201805567665735
ZN558.H14CORE.0.P.B	2.814209556916733e-17	0.0001908183198878057
CUX1.H14CORE.2.P.C	0.0005622021995044189	0.0005520220307495108
ZN112.H14CORE.0.P.C	3.275301447642195e-17	0.00022127959594939777
REST.H14CORE.0.P.B	0.0019257734582791282	0.0001367370901159559
ZBT7B.H14CORE.0.SM.B	0.00016410424061607344	0.0002009176222859487
ZN132.H14CORE.0.P.C	4.0187628635357677e-19	0.0003119311504221722
BATF2.H14CORE.0.PSG.A	0.00017111317708187062	0.0006245010994474978
ZN480.H14CORE.1.P.C	7.633200082114704e-18	0.00020521853457407713
ZN143.H14CORE.0.P.B	0.002416173711822821	0.00021073682469069225
MSD4.H14CORE.0.SGIB.A	0.0004475329597357791	0.0005348281447496632
ZNF16.H14CORE.0.P.C	0.0002496130079052188	0.00016857990640191958
ZNF43.H14CORE.0.PSGI.A	1.6498749784153258e-14	0.0001930458140166023
ZFP91.H14CORE.0.SGI.A	0.0008560587145011936	0.00022661179352642108
TBX5.H14CORE.1.P.B	8.56955988185982e-17	0.0004618587277403765
HMX1.H14CORE.0.SM.B	0.0001574136486583589	0.00041959487447792765
ZN317.H14CORE.0.P.B	4.988931343685928e-05	0.00014965235308891914
