	mean
A1BG-AS1	-1.339303394993062
A4GALT	-0.28844760982898004
AAAS	0.3993400546749901
AACS	1.1388328204832787
AADAT	-0.36988966981513993
AAGAB	1.1500595263199498
AAK1	-1.276052335619639
AAMDC	-0.947677734651536
AAMP	0.8822313541825856
AAR2	0.494279392051245
AARS2	1.139327792978551
AARSD1	-2.063791489378044
AASDH	-0.5774468265803674
AASDHPPT	-0.14839644331342122
AASS	-1.2866467788622915
AATF	-0.788151912219735
AATK	-1.0225806903081556
ABAT	-0.36904064566909733
ABCA1	-1.5833854052573866
ABCA11P	-2.24847648698809
ABCA12	-2.0282070078330308
ABCA2	0.8667534019292897
ABCA3	0.6497873633797008
ABCA5	0.04273279916991479
ABCA7	0.825663305709845
ABCB10	0.7069721151737951
ABCB6	-1.679644156006121
ABCB7	0.20638741280231546
ABCB8	0.6251858833564521
ABCB9	-0.23083442539061974
ABCC1	-0.01530432197586481
ABCC10	-0.12351290713019379
ABCC3	-2.2481023131653526
ABCC4	-2.1235448661750924
ABCC5	1.3832035441885775
ABCC8	-0.0818716953996359
ABCD1	-0.5283909595401881
ABCD3	-0.2877724647439516
ABCD4	0.8153387242912218
ABCE1	0.41537384841213
ABCF1	1.1407536183974296
ABCF2	0.42239649911336946
ABCF3	0.10786139192416233
ABCG1	-0.8050136921238829
ABHD10	1.1966308468554863
ABHD11	-0.25278803543948863
ABHD12	1.2987594224097603
ABHD13	0.5316984614047155
ABHD14A	-1.2027516598968486
ABHD14B	-0.700013652435407
ABHD15	-0.5971983053446724
ABHD16A	-1.5978333893830232
ABHD17A	0.4761958729338722
ABHD17B	-0.8319418710351391
ABHD17C	-0.5691723912544425
ABHD2	2.4175226219083346
ABHD3	0.34558780036032805
ABHD4	0.29915575667202604
ABHD5	-1.1329932974430377
ABHD6	-1.176691482153622
ABHD8	0.37563319154078745
ABI1	0.29799036891180014
ABI2	-0.19214808556630333
ABL1	1.5678409970496363
ABL2	0.18417129915827674
ABLIM1	1.9944754732066494
ABLIM2	-0.563018763242541
ABLIM3	-1.8823725529059887
ABR	1.230218746252156
ABRACL	0.7052429523697001
ABT1	1.0004239299523947
ABTB1	-0.07788038006118182
ABTB2	-0.06662316561388093
ACAA1	-0.4299647616949254
ACAA2	1.0098763395951862
ACACA	0.3501864847418606
ACACB	0.15741094173332562
ACAD10	-0.40460706991738893
ACAD11	-1.753333247983451
ACAD8	0.320410041465988
ACAD9	0.027752399453827306
ACADM	0.18969523343163228
ACADS	-0.2838757594729602
ACADSB	-0.6261970798189184
ACADVL	1.0817152827755785
ACAP2	1.148448203908313
ACAP3	1.681983194175209
ACAT1	-0.17415042989526439
ACAT2	0.9155348644250587
ACBD3	0.9582285159954743
ACBD4	-0.862199541455108
ACBD5	-0.4055485127437789
ACBD7	0.17277089659552985
ACCS	-1.260201666219239
ACD	-0.6330895694253016
ACE	-0.6908907468680603
ACER2	-1.2523271554040623
ACER3	0.040224023850995556
ACIN1	1.9504181033658725
ACKR3	1.0249886044761278
ACLY	1.8083057519923231
ACO1	0.37887152156715564
ACO2	0.6925704751427525
ACOT1	-2.1344008187690138
ACOT11	-0.6543807995857911
ACOT13	-0.130680666383604
ACOT2	-0.9960657166737987
ACOT4	-1.5782878325801233
ACOT7	0.9287064236369069
ACOT8	-0.28614016041139556
ACOT9	-1.7368747594985903
ACOX1	1.1876445480030322
ACOX3	-1.4239816980182098
ACOXL	-1.521494006655388
ACP1	1.232901854411531
ACP2	-0.3161686861171928
ACP5	-1.355105859515371
ACP6	-0.7336593335643286
ACRBP	-1.8881980455392724
ACSF2	-1.4023477948400969
ACSF3	0.060762833303723604
ACSL1	-0.3761134827386223
ACSL3	-0.3477964186714267
ACSL4	-0.2065755286412911
ACSL6	-1.5499666787260735
ACSM3	-1.2370122568729256
ACSS1	-0.4291917704897317
ACSS2	-0.8274649562132546
ACSS3	-0.7364079916264479
ACTB	3.80971411803725
ACTG1	3.6753036943711965
ACTL6A	0.46659395463146214
ACTL6B	0.9979862359617768
ACTN1	1.3974262923719916
ACTN4	1.9787621524037404
ACTR10	0.3935713201414011
ACTR1A	1.4667953458167624
ACTR1B	1.2462185957903629
ACTR2	1.9807391041961246
ACTR3	0.4095425830743231
ACTR3B	-1.9711706103997046
ACTR3C	-1.3939742714375247
ACTR5	-0.0797323179925948
ACTR6	0.3682658352626614
ACTR8	-0.6232342438158639
ACVR1	0.07800045860174751
ACVR1B	0.3211628040230016
ACVR1C	-1.189608101537343
ACVR2A	-0.5707114429069178
ACVR2B	0.1750630827085839
ACVR2B-AS1	-0.8094482154642108
ACYP1	0.0971507149517474
ACYP2	-1.3368780371628093
ADA	-1.7812523913440184
ADAL	-0.5343551829757901
ADAM10	0.7908124883452662
ADAM11	-2.183929355001301
ADAM12	-1.4207581350928693
ADAM15	0.6318573015816447
ADAM17	0.5471359127655453
ADAM19	0.7161946104310716
ADAM22	0.42196774623243516
ADAM23	-0.773398875878111
ADAM28	-0.24675868325024336
ADAM8	-2.437651083610208
ADAM9	0.11034524292361718
ADAMTS13	-1.0749807320485216
ADAMTS14	0.6630466423158485
ADAMTS15	-0.5347472283881284
ADAMTS17	-2.25117931867761
ADAMTS18	0.10863124810597155
ADAMTS2	-1.3293354553407186
ADAMTS6	-2.640761893030788
ADAMTS7	-1.4200781639711522
ADAMTSL1	-0.11352699223018459
ADAMTSL2	-0.3141448741614009
ADAR	1.800521542663224
ADARB1	-1.4372191534329208
ADARB2	-0.8992136330768037
ADAT1	0.3492603194550994
ADAT2	-0.7299396120157907
ADAT3	-1.4387551262338452
ADCK1	-0.8816272324996952
ADCK2	0.10993146286517368
ADCK5	-0.7209842792465977
ADCY1	2.0482892846529603
ADCY10P1	-1.630227363679578
ADCY2	-0.3461332947221537
ADCY3	0.8434873517651134
ADCY5	-0.19150413603601987
