	CDX08.1	CDX20P.1	CDX03P	CDX17.2	CDX20P.2	CDX03.1	CDX17P.2	CDX17.1	CDX08P	CDX42	CDX08	CDX20.2	CDX42P.1	CDX42P.2	CDX17P.5	CDX03.3	CDX03P.2	CDX42.2	CDX42.1	CDX17	CDX18P.1	CDX08P.1	CDX03	CDX18.1	CDX08P.2	CDX42P	CDX03P.3	CDX17P.3	CDX20P	CDX20	CDX03P.1	CDX17P	CDX18	CDX17P.1	CDX18.2	CDX08.2	CDX20.1	CDX18P	CDX03.2	CDX17P.4	CDX18P.2
ANDR.H14CORE.1.S.C	-0.001310699539447513	0.00786145010306373	0.02294028727996191	-0.0019034458128886003	0.009357485528166638	0.013332702569160818	-0.007001531358496077	0.005385094349795301	-0.003614840956006957	-0.013606849730457858	-0.0020162930383934817	0.00950678435431328	-0.006908365228694074	-0.007886509387175129	-0.0021387624909399655	0.014822773735177534	0.02432361916701889	-0.01673389785281934	-0.016775876635619226	-0.014901100151875271	-0.020049540574377495	-0.0031731133015867816	0.01498172770739175	-0.0019094795580157347	-0.0032999851231889513	-0.0033986411000364487	0.02642069311927274	-0.0017847024483405999	0.007359961274132921	0.009479768484153394	0.028316406950309913	-0.013616488329550428	-0.0062030895460968025	-0.012412395417566266	-0.0036882089458635057	-0.005432574404477024	0.009536294130766364	-0.02079085738993031	0.017696960846918967	-0.004734927071292298	-0.018899811387710637
ANDR.H14CORE.2.P.B	-0.0004877310430257756	0.0006738011025823555	0.0012246204071107922	-0.0007925099826395225	0.0003941505204448335	0.0006813062927411885	-0.000923511829181458	-0.0010735125792856	-0.0006682925599552922	-0.0007545442423067565	-0.0005279874176144649	-7.99103304125917e-05	0.0005435804323705219	0.000507622848912885	-0.0010557399557982621	7.55856492335727e-05	0.0012812038478633152	-0.0006278860790522346	-0.0008391954657681593	-0.0008451962089579859	-0.00023007685354693198	-0.0008060868466479082	0.0004543892695251508	0.0008326864867785238	-0.00027528753464448703	0.00016582443822058977	0.002316289283313469	-0.0014577294921636445	0.0002827303396819694	-0.00020858536904678083	0.0018882986137645857	-1.1381603987640018e-06	0.001306560782631615	0.00012171861083471478	0.0006876851817618672	-0.0002840772875864119	-0.000366978310406709	-0.0001748660572424808	0.0017761302990499574	-0.0011287502009992931	-0.0006132794064636436
AP2A.H14CORE.0.PSM.A	-0.0008743460592960973	0.001877694949423078	0.0009574600630914264	-0.0007993092546902945	0.001487653656638985	0.0008005328286544719	-0.00043430508577034575	-0.0009306126685394611	-0.001251533997427794	-0.0003206413752723982	-0.0002838498757925785	0.001508136277494243	-0.0013140002561024306	-0.0015452540887815431	-0.0004283419158441202	-0.00039019208681023015	0.0010396112611901287	-0.00016200752259600687	-0.00037546093718959957	-0.0006297222345964741	0.00039109977659732877	-0.0013473852338933001	0.00025221432812269715	0.00040776407742146217	-0.0010634280284772088	-0.0008763431757703314	-0.0009052422846599437	-0.00018848537592856948	0.001954693287870691	0.0016483458716315454	0.00111885244185708	-0.0006161654356972537	-0.0002656874045131696	-0.000632397722590468	0.00023765365119249402	-6.991505075030872e-05	0.0017509370006682473	0.0005976529284181919	0.000434305225779516	-0.00012838709022234553	0.00020235672704581147
ARNT.H14CORE.0.P.B	-0.012912969375143232	-0.004460672621495745	0.014556797314205765	-0.001415541397548076	0.008974375913597786	0.029509035412967902	0.02091649180435562	0.0035483163270783004	-0.012109699294510192	-0.013207733926476	-0.011819035618357454	-0.016706470209755565	-0.02123684178425449	-0.026784308153705513	0.017793201451603336	0.02371140045181587	0.015365832431599672	-0.018773685507271293	-0.014989149185333278	0.017556710265327784	-0.0019441072494110288	-0.017570847900589544	0.01920909915623967	-0.007403135418893531	-0.013999391933295677	-0.025828845577263608	-0.003540668816493641	0.015535977833374664	-0.008616426942261163	-0.0051937773981004	0.0023217075240463225	0.013697188825937893	0.00039329053832366226	0.019430483383781352	-0.008061067830223725	-0.008212801378415902	-0.009136773205638776	-0.0033062169149744762	0.021522719542900328	0.02003712873185613	-0.0066210882543747815
ATF1.H14CORE.1.P.B	-0.0029262166749172286	0.010506134061365966	0.007027778864478872	0.008061513477480516	0.0126586866503351	0.006328905601706614	0.014313195456418612	0.010405593645503067	-0.012736027214098711	-0.012193491184260451	-0.0024138230265815567	0.009050514067260228	-0.03476950635425304	-0.03345128045495986	0.012546381947391928	0.003599461081031822	0.00880208442361035	-0.014779814286027556	-0.01438967179532481	-0.01472831527436479	0.00909371042511559	-0.011924462386597577	0.0070757250491880665	-0.005691799434871454	-0.014488694357809223	-0.03135386601128195	-0.012470766882945704	0.01816525129321303	0.01026914747433005	0.008591494550809368	0.0013869080438517634	0.009935042887535023	-0.005397082213549899	0.01288475325382404	-0.007915574473067972	0.0010520496290182466	0.00970403102704544	0.01207088771576763	-0.0013000142748364855	0.011397397419865304	0.011229418926408262
BATF.H14CORE.0.P.B	-0.00043797208384056124	0.006113783440755418	-0.005930221595024567	-0.006943502503395467	0.005303930494796516	-0.0022371437436353985	-0.006550999086339792	-0.008009004517217587	-0.002109912396938751	0.0018652543735901764	-0.0002322090741294098	0.007486513976555876	0.007097466762753175	0.006593551501310732	-0.011238371640149191	-0.010786032688921754	-0.004481605503073503	0.00399572481322788	0.003616372489545515	0.0014724206588379654	0.010847401218758289	-0.0020131013026102526	-0.002890349738375462	0.0058854185244779575	-0.0020356222196582846	0.004967916895900622	-0.009163224154643226	-0.013027107984691637	0.007158592569403934	0.006190654496069365	-0.0045335897496200355	-0.004731289367005546	0.009101018437048906	-0.0028210918398926085	0.006307138419086516	0.0021141203235471896	0.006217790269659611	0.011544198600841677	-0.0056898541512206205	-0.010076532826538974	0.00933917573709268
BATF2.H14CORE.0.PSG.A	0.0026539899185345286	0.005189343635938463	-0.010706319901460926	-0.002678982124662321	0.0017047859714325025	-0.012211976701392777	-0.006849187162396519	-0.002450804723277007	-0.004881417163545947	0.01587525144472675	0.0009470025975098747	0.007891041841593532	0.008845733494859356	0.008394686166146456	-0.008110515418623728	-0.020217071238480766	-0.007943169052687323	0.01574539104235119	0.01626119708510891	-0.005584437925841902	0.008317704110010718	-0.0008889677636935919	-0.014613749362801708	0.004576194091719998	-0.0019442010940106044	0.009896855755673058	-0.010322235681224354	-0.007399107168697632	0.003670659222411653	0.005812263600590409	-0.007755417468942621	-0.003552828282092629	0.004498517858521914	-0.004968496735703086	0.0037970068766693954	0.009159149960678972	0.004444564964958531	0.010998178207828321	-0.012748680803826157	-0.009201084567020033	0.01178651572627984
BCL6.H14CORE.0.PSM.A	0.0026703418851181104	0.013351420047515316	-0.003677635204519372	-0.005130309893425175	0.014863622819602813	-0.0004248118918955268	0.007292782595229228	-0.003451026403267275	0.005939595097624609	-0.01640321991876712	0.00377983533435477	0.009901356139360589	-0.022911578727618523	-0.024480934219558832	0.0047611361019522045	-0.0009772772651201467	-0.0022139466997506685	-0.01701136269878361	-0.01606487373378676	-0.005670548971210889	0.006211729902748028	0.006716663388312408	0.0024603660433971525	0.000903998533453805	0.005006023431367662	-0.02470459809763181	-0.012569194623752888	0.00701712194545232	0.011352381317087552	0.013741703988456146	-0.004890565230185301	0.003589328975605421	-0.0009648969967350207	0.00598056745566109	0.0014040555199719904	-0.0007318953410878903	0.012531129947290953	0.009294938670024622	-0.006456722462998998	0.006128842243410499	0.010117434131068553
CASZ1.H14CORE.0.SGI.A	-0.0008053276284385458	0.003635270181614493	-0.002103673131726904	-0.0008101787673225266	0.003968139624084778	-0.0009340255732343157	-0.002810084604979953	-0.00048620719681260593	-0.0020513895752941116	0.004949215198754731	-0.0012001109139603092	0.0037699617384666225	0.004487636653175295	0.004786545480643108	-0.00469548571756066	-0.0025977973744598926	-0.000619407226763403	0.005016519781542883	0.005437349689776532	-0.0020103317530603734	0.0021951613126496607	-0.0023538353745090786	-0.0014987544305738974	-0.0010435453687691904	-0.0013342581906724054	0.003580760084289269	-0.000908637192339648	-0.005226578284908251	0.0029593245280913573	0.0023412950261772992	-0.001620382592852401	-0.002838537231709347	-0.0004262075233200102	-0.0015911205035879603	-0.001189742850252494	-0.0005123315152821863	0.0015195819945674448	0.0019095853820392389	-0.0025059370260420467	-0.004834483361576021	0.0018057863823206961
CEBPG.H14CORE.0.P.B	-0.009834449484470875	0.013223264230563504	0.008532920886221679	-0.0053946687631420374	0.016360093139919377	-0.0017538094902820461	-0.018877851051758966	-0.0023391867751683115	-0.014593124284132425	0.012548994339047922	-0.008311817686057762	0.015758062208314785	0.006637830441297787	0.007495603753155208	-0.010806422218455961	0.0047385159895214635	0.00896742388608629	0.011512695347976151	0.008654499096769797	-0.0009181150074351954	0.00041865279264208244	-0.013842124195274093	-0.004967037486509132	0.005169186438023471	-0.015660983394040505	0.007711379324521289	0.01598793961940853	-0.013874736448619763	0.012926633924602826	0.014427988519077405	0.010694684556108607	-0.02590320763692291	-8.115334222161957e-05	-0.0320860580312804	0.004907853388942417	-0.0047393450091903	0.014078053208594732	0.0008111752230423874	0.013835509203868335	-0.013988767802951411	0.0006191619209854338
