	mean	std
AHR.H14CORE.0.P.B	0.02015782707515712	0.0023224927422081736
ALX1.H14CORE.0.SM.B	0.0026026678592596126	0.002153981984583648
ANDR.H14CORE.1.S.C	0.01632150209724991	0.003261698117957779
ANDR.H14CORE.2.P.B	-0.03665835349976565	0.002150702365513004
AP2A.H14CORE.0.PSM.A	0.04442377516044745	0.002079342326171555
ARNT.H14CORE.0.P.B	-0.018068808782056276	0.0036525571338474694
ARNT2.H14CORE.0.P.B	-0.021172357903705856	0.0020953229215644764
ATF1.H14CORE.1.P.B	0.07222618361574806	0.00345813145213942
ATMIN.H14CORE.0.P.B	0.016106253364879933	0.0029755645871543273
BARH2.H14CORE.0.SM.B	-0.0023824961571573527	0.0024101230239836425
BARX1.H14CORE.0.P.C	0.017221128533903313	0.00229645291030498
BATF.H14CORE.0.P.B	0.0014457833455478516	0.0026174268264851567
BATF2.H14CORE.0.PSG.A	0.021619352881267928	0.003069782391308384
BCL6.H14CORE.0.PSM.A	0.0129974359906895	0.00286596635160795
CASZ1.H14CORE.0.SGI.A	0.05109416195435211	0.002314416160163888
CEBPG.H14CORE.0.P.B	-0.024780631171818147	0.0031573318021596844
CENPB.H14CORE.0.S.B	-0.0019876370782625358	0.001883450204040219
CGBP1.H14CORE.0.PSGIB.A	-0.13487101885390143	0.006154519439846904
CMTA1.H14CORE.0.PSGI.A	0.02757333638873697	0.0033593716284939148
CMTA2.H14CORE.0.PSGI.A	0.03745659691673086	0.003641999933598258
COE1.H14CORE.0.P.B	-0.02855990868360643	0.0024750285694263813
CPEB1.H14CORE.0.S.B	-0.007834540372301392	0.004057482303124029
CR3L4.H14CORE.1.S.C	-0.034699332481293255	0.0038205093380423816
CREB5.H14CORE.0.P.B	-0.01278880902706046	0.0032172949447906705
CREM.H14CORE.1.P.C	0.0003832996129122905	0.0023175382801205583
CTCF.H14CORE.0.P.B	-0.013462312625627852	0.0019372259787222173
CUX1.H14CORE.2.P.C	-0.026575568300117695	0.0019035062228553203
CUX2.H14CORE.2.S.C	0.05736052114802785	0.0025830496426864796
CXXC4.H14CORE.0.PSGIB.A	0.025172706863189905	0.004130017693470751
DACH1.H14CORE.0.S.B	0.0070371271089904285	0.002601846274629375
DACH2.H14CORE.0.S.B	-0.052363334267548016	0.002018710684847102
