motif	tau	std
AHR.H14CORE.0.P.B	1.597840973548187e-14	0.0005835962270012563
ALX1.H14CORE.0.SM.B	1.470222414106871e-18	0.00023310897324864134
ANDR.H14CORE.1.S.C	0.001665989148549808	0.00023543730442427652
ANDR.H14CORE.2.P.B	7.251027181548965e-05	0.0007146808482029628
AP2A.H14CORE.0.PSM.A	7.80677402903301e-05	0.0006408193935797974
ARNT.H14CORE.0.P.B	0.0021743216704303014	0.00037326673091037847
ARNT2.H14CORE.0.P.B	2.562905404338052e-17	0.00047685622053567387
ATF1.H14CORE.1.P.B	0.0018209379285809	0.0004528100697163478
ATMIN.H14CORE.0.P.B	3.258113344382264e-14	0.00028859956961907435
BARH2.H14CORE.0.SM.B	1.5653574397372956e-13	0.0005486906565348817
BARX1.H14CORE.0.P.C	1.8213897959662211e-16	0.00019138099799829674
BATF.H14CORE.0.P.B	0.0006937777544041245	0.0014525359933670462
BATF2.H14CORE.0.PSG.A	0.0010411272467703797	0.0006004843414764018
BCL6.H14CORE.0.PSM.A	0.0011732354960288652	0.0007347928952048185
CASZ1.H14CORE.0.SGI.A	0.00026472047455465585	0.00033101117296189327
CEBPG.H14CORE.0.P.B	0.0015465638383882424	0.0007422893057716631
CENPB.H14CORE.0.S.B	7.438426755600281e-06	0.0008138073243183899
CGBP1.H14CORE.0.PSGIB.A	0.0024821245594137662	0.0005702363454174658
CMTA1.H14CORE.0.PSGI.A	0.0013745826584672435	0.0002486891597979529
CMTA2.H14CORE.0.PSGI.A	0.002387572128173488	0.00036648526880839357
COE1.H14CORE.0.P.B	0.0004944609117242013	0.0008657292676823926
CPEB1.H14CORE.0.S.B	0.00107533734669217	0.00035853815251150125
CR3L4.H14CORE.1.S.C	0.002729188920519103	0.0017980978785229916
CREB5.H14CORE.0.P.B	0.0016054473727056082	0.0004854153271013054
CREM.H14CORE.1.P.C	8.417184307781803e-06	0.0002295868568356128
CTCF.H14CORE.0.P.B	2.9133140153810164e-17	0.0019029120261647523
CUX1.H14CORE.2.P.C	1.8025487376939128e-13	0.000617854120172124
CUX2.H14CORE.2.S.C	0.0007927586054002784	0.000274083781267725
CXXC4.H14CORE.0.PSGIB.A	0.002766649422517859	0.00044318201605966453
DACH1.H14CORE.0.S.B	0.0006236604464412251	0.0004726099198644258
DACH2.H14CORE.0.S.B	7.644212349355084e-15	0.0004636322467087268
DMRT1.H14CORE.0.PS.A	2.747799034966852e-16	0.00028404042381730834
DMRTA.H14CORE.0.SM.B	5.7390145524947935e-18	0.0015399479602058715
DPF1.H14CORE.0.SM.B	2.6515434980563605e-16	0.0003538714872469481
DUX4.H14CORE.0.P.B	5.270493910504796e-15	0.00025221829238762677
E2F1.H14CORE.0.P.B	0.00695017823359632	0.000535007645608279
E2F4.H14CORE.2.S.B	0.0012449557104833387	0.00019807448381266334
EGR1.H14CORE.0.PS.A	1.9107446162745555e-05	0.0003125919613015917
ELYS.H14CORE.0.B.B	0.005793903162164619	0.0003884487451417198
ERR1.H14CORE.0.PSM.A	1.5515700143923612e-15	0.0006284377026334728
ETV7.H14CORE.1.P.C	0.001727498528356413	0.00025044358143022774
F200B.H14CORE.0.PSGIB.A	1.4673896700782148e-15	0.0003224067191214714
FER3L.H14CORE.0.SM.B	9.177417320654804e-14	0.00022471064441489618
FEZF1.H14CORE.0.P.B	0.0003520996077012822	0.0004684255513075521
FIZ1.H14CORE.0.PSGI.A	8.556125943595228e-16	0.0005092682698223416
FOSB.H14CORE.1.M.C	0.0010641007116320234	0.00022102660116601018
FOSL2.H14CORE.0.P.B	5.156633066858297e-16	0.0012913117334484407
FOXB1.H14CORE.0.SM.B	6.624336748033873e-14	0.0005805870752903866
FOXD2.H14CORE.1.SM.B	1.178715640407094e-16	0.0005135567546763397
FOXE1.H14CORE.1.S.C	1.7237259364135153e-15	0.0003644595741516077
FOXH1.H14CORE.0.P.B	0.0012620958272001948	0.00030314139477682705
FOXJ2.H14CORE.1.SM.B	8.918697967874128e-17	0.00031987101849803486
FOXK1.H14CORE.0.PS.A	0.0008967915826932187	0.0006455611580080972
FOXR2.H14CORE.0.M.C	1.9952740099769238e-13	0.0003476479345794
FWCH1.H14CORE.0.PSGB.A	0.00044571613577876006	0.000837911045668282
GABPA.H14CORE.0.PSM.A	0.006041616423258607	0.0003359159895016037
GATA1.H14CORE.1.PSM.A	0.0006924195630551849	0.0005329360175612775
GCM1.H14CORE.0.S.B	0.0002120171810148011	0.0008075659711146766
GFI1B.H14CORE.0.PSM.A	0.001519347709201097	0.0002871850709569523
GLI2.H14CORE.0.PSM.A	8.571547240117625e-18	0.0009609931041382871
GLI3.H14CORE.1.M.C	5.8365994888109756e-05	0.000561850974343522
GLI4.H14CORE.0.P.C	4.736147683548327e-19	0.00021993816978538473
GLIS1.H14CORE.0.P.B	0.00029268996257573326	0.0003207967042631652
GLIS1.H14CORE.1.P.B	8.342569280732603e-16	0.0004210964000252983
GLIS3.H14CORE.1.S.C	0.00041995340506686317	0.0002592377740429044
GMEB1.H14CORE.2.SM.B	8.235462941705664e-17	0.0005416420308077883
GMEB2.H14CORE.0.P.C	0.0016061447719141972	0.0008594115394317856
GRHL1.H14CORE.0.PSM.A	0.00022171733594226372	0.00036382625761799414
GRHL1.H14CORE.1.PS.A	0.0005664241566338482	0.0015912671898250601
GRHL2.H14CORE.0.P.B	0.0001667638037078918	0.0012180459764594186
GTD2A.H14CORE.0.PS.A	0.0008063122683842729	0.0006121289983442933
HAND1.H14CORE.0.P.B	1.6735124129621794e-15	0.0003184906866824746
HAND1.H14CORE.1.P.B	0.0009226528332031139	0.0012264924539142025
HEY1.H14CORE.0.S.B	3.5478809564422195e-05	0.0011638513570222315
HIC1.H14CORE.0.PSM.A	0.004529735175900241	0.00035328118322802145
HIC2.H14CORE.0.P.B	0.0006475026021754043	0.0003857256957083889
HINFP.H14CORE.0.P.B	3.7808729845016254e-19	0.00044247250722812004
