	mean
TSPAN6	0.9136246888136443
DPM1	0.21845384242885751
SCYL3	-2.1263503162845
FUCA2	1.1158925614275774
GCLC	0.07462717259960136
NFYA	-1.682868294685352
STPG1	-0.3051956111676811
NIPAL3	2.870499459359687
LAS1L	1.0100731034569403
ENPP4	1.7211993871635232
SEMA3F	0.4130955920237579
ANKIB1	1.72730455704733
CYP51A1	-2.981740584720492
KRIT1	0.4472636358589038
RAD52	-1.3686532787249976
BAD	-0.31491986756532186
LAP3	-0.8855266211061947
CD99	-0.6955358082651654
HS3ST1	0.5508571521273716
AOC1	-3.8867766977952565
WNT16	-3.6518918782004266
MAD1L1	0.11465457131317476
LASP1	3.242645147924731
SNX11	-0.987944361025298
TMEM176A	-1.7893982650968345
M6PR	2.3625700990547447
KLHL13	-3.009265996248935
CYP26B1	-0.7674800011042483
ICA1	1.763855527830262
DBNDD1	1.596195023757104
ALS2	-0.13017928545250154
CFLAR	-0.10995481620406156
TFPI	-3.2741841568871717
NDUFAF7	0.08390225532561185
RBM5	-0.380152554165755
MTMR7	0.037169118122203366
SLC7A2	-1.9529070838198863
ARF5	3.2755006931148056
SARM1	2.1673363318361267
POLDIP2	2.359903982749372
PLXND1	1.9791532528024949
AK2	1.63033879621919
FKBP4	2.3276050909690205
KDM1A	2.519586489138165
RBM6	0.5517813115600005
CAMKK1	0.8088153390266043
RECQL	1.7553655167076587
ARHGAP33	2.1976079305622624
NDUFAB1	0.8403046777833355
PDK4	-0.7401895946136348
SLC22A16	-2.6904164278564764
ZMYND10	-1.24193301568222
SLC25A13	0.46933654336266195
ST7	-0.31996753006846224
CDC27	0.5360811049186861
HCCS	0.0019613947334223125
DVL2	0.7588052653419118
UPF1	0.5596646722595741
SKAP2	1.0635415226688378
SLC25A5	3.6360749957375833
HOXA11	-3.82053622035201
POLR2J	0.9306389723322012
DHX33	-1.7147817872051847
THSD7A	-2.0743929004393467
LIG3	0.9494316804713396
RPAP3	0.2489502111063881
ACSM3	-4.231799605952741
CIAPIN1	-1.4806685697999744
SPPL2B	2.6812793257593315
PRKAR2B	-0.39594697427661696
MSL3	-1.2373156656900008
CREBBP	1.1220447363532564
PON1	-2.5195941167017724
GCFC2	0.2266478568277268
WDR54	0.11301479050365769
CROT	-3.019454460402975
ABCB4	-6.868957925271467
KMT2E	1.3970710989710908
RHBDD2	-0.9754550675516364
IBTK	1.6889395174518385
ZNF195	0.2560979849592613
MYCBP2	1.1348559967086855
FBXL3	0.028776787067207384
PDK2	2.183795629932363
ITGA3	2.8450140334390355
ZFX	-2.686517872784213
LAMP2	2.9520041884102204
GDE1	2.258561438165518
CRLF1	-5.608021986698784
OSBPL7	1.8186753151583723
TMEM98	3.059752337295047
YBX2	-3.8281390412905303
MAP3K14	0.006271828787115329
ABCC8	-2.2026566284666487
TMEM132A	3.31127920712572
AP2B1	3.5688259779786917
ZNF263	0.2494481902002089
SPATA20	1.433921885666751
CACNA1G	-0.22909809394888134
TNFRSF12A	-1.938604139720991
DLX6	-0.7673813967993918
MAP3K9	1.4239647653074412
RALA	0.7301062590157673
BAIAP2L1	1.78367923799387
KDM7A	-1.5798723350718744
ETV1	0.3410544324811017
AGK	0.2625292982457709
ALDH3B1	-1.9690010299387901
TTC22	-1.7478459801459585
PHTF2	0.936412976407926
FARP2	1.1194086777830368
USH1C	-2.1831420130332133
GGCT	2.6189662744352087
DBF4	1.00669651226354
